period,top4,actual,is_hit,multiplier,bet_amount,profit,balance,consecutive_losses
1,"鼠, 兔, 狗, 猴",牛,❌,1.0,16,-16,-16,1
2,"鼠, 狗, 兔, 虎",鸡,❌,1.0,16,-16,-32,2
3,"鼠, 狗, 兔, 虎",虎,✅,1.0,16,31,-1,0
4,"鼠, 兔, 狗, 羊",兔,✅,1.0,16,31,30,0
5,"鼠, 狗, 猴, 羊",羊,✅,1.0,16,31,61,0
6,"鼠, 狗, 猴, 猪",羊,❌,1.0,16,-16,45,1
7,"鼠, 狗, 兔, 龙",蛇,❌,1.0,16,-16,29,2
8,"鼠, 狗, 兔, 龙",龙,✅,1.0,16,31,60,0
9,"猴, 鼠, 狗, 兔",猪,❌,1.0,16,-16,44,1
10,"猴, 鼠, 兔, 狗",鼠,✅,1.0,16,31,75,0
11,"猴, 兔, 狗, 虎",狗,✅,1.0,16,31,106,0
12,"猴, 虎, 兔, 马",兔,✅,1.0,16,31,137,0
13,"猴, 虎, 鼠, 马",猴,✅,1.0,16,31,168,0
14,"鼠, 虎, 马, 狗",马,✅,1.0,16,31,199,0
15,"鼠, 虎, 狗, 牛",鼠,✅,1.0,16,31,230,0
16,"虎, 狗, 牛, 猴",鼠,❌,1.0,16,-16,214,1
17,"虎, 狗, 牛, 猴",羊,❌,1.0,16,-16,198,2
18,"虎, 猪, 狗, 兔",虎,✅,1.0,16,31,229,0
19,"猴, 狗, 兔, 猪",蛇,❌,1.0,16,-16,213,1
20,"牛, 猴, 猪, 狗",猪,✅,1.0,16,31,244,0
21,"牛, 狗, 猴, 马",鸡,❌,1.0,16,-16,228,1
22,"牛, 狗, 猴, 马",兔,❌,1.0,16,-16,212,2
23,"牛, 狗, 龙, 猴",蛇,❌,1.0,16,-16,196,3
24,"狗, 牛, 龙, 马",牛,✅,1.0,16,31,227,0
25,"狗, 龙, 猴, 马",龙,✅,1.0,16,31,258,0
26,"狗, 马, 猴, 虎",鼠,❌,1.0,16,-16,242,1
27,"马, 猴, 狗, 虎",牛,❌,1.0,16,-16,226,2
28,"马, 猴, 狗, 虎",猪,❌,1.0,16,-16,210,3
29,"马, 猴, 狗, 鸡",兔,❌,1.0,16,-16,194,4
30,"猴, 狗, 马, 鸡",蛇,❌,1.0,16,-16,178,5
31,"马, 猴, 狗, 虎",猪,❌,1.0,16,-16,162,6
32,"狗, 猴, 马, 虎",鼠,❌,1.0,16,-16,146,7
33,"狗, 马, 猴, 鸡",羊,❌,1.0,16,-16,130,8
34,"猴, 狗, 虎, 马",虎,✅,1.0,16,31,161,0
35,"马, 猴, 狗, 鸡",马,✅,1.0,16,31,192,0
36,"猴, 狗, 鸡, 龙",虎,❌,1.0,16,-16,176,1
37,"猴, 狗, 鸡, 牛",蛇,❌,1.0,16,-16,160,2
38,"猴, 鸡, 狗, 龙",猪,❌,1.0,16,-16,144,3
39,"猴, 鸡, 龙, 狗",蛇,❌,1.0,16,-16,128,4
40,"猴, 鸡, 龙, 狗",兔,❌,1.0,16,-16,112,5
41,"猴, 鸡, 龙, 狗",兔,❌,1.0,16,-16,96,6
42,"狗, 鸡, 猴, 龙",羊,❌,1.0,16,-16,80,7
43,"狗, 鸡, 猴, 龙",马,❌,1.0,16,-16,64,8
44,"猴, 狗, 鸡, 龙",猴,✅,1.0,16,31,95,0
45,"狗, 鸡, 龙, 牛",马,❌,1.0,16,-16,79,1
46,"狗, 龙, 鸡, 牛",蛇,❌,1.0,16,-16,63,2
47,"狗, 龙, 鸡, 猴",龙,✅,1.0,16,31,94,0
48,"狗, 鸡, 牛, 鼠",羊,❌,1.0,16,-16,78,1
49,"狗, 鸡, 牛, 猴",蛇,❌,1.0,16,-16,62,2
50,"狗, 鸡, 牛, 猴",羊,❌,1.0,16,-16,46,3
