period,date,top5,actual,is_hit,profit,cumulative_profit,consecutive_misses
1,2025/5/1,"['牛', '猪', '蛇', '马', '兔']",马,True,26,26,0
2,2025/5/2,"['牛', '蛇', '猪', '龙', '兔']",鸡,False,-20,6,1
3,2025/5/3,"['牛', '蛇', '猪', '虎', '兔']",鸡,False,-20,-14,2
4,2025/5/4,"['牛', '蛇', '猪', '虎', '鸡']",猴,False,-20,-34,3
5,2025/5/5,"['牛', '蛇', '猪', '虎', '兔']",蛇,True,26,-8,0
6,2025/5/6,"['牛', '猪', '狗', '虎', '兔']",龙,False,-20,-28,1
7,2025/5/7,"['牛', '猪', '狗', '虎', '龙']",蛇,False,-20,-48,2
8,2025/5/8,"['牛', '猪', '狗', '虎', '龙']",蛇,False,-20,-68,3
9,2025/5/9,"['牛', '猪', '狗', '马', '龙']",虎,False,-20,-88,4
10,2025/5/10,"['牛', '猪', '狗', '鸡', '龙']",羊,False,-20,-108,5
11,2025/5/11,"['牛', '猪', '狗', '鼠', '龙']",羊,False,-20,-128,6
12,2025/5/12,"['牛', '猪', '狗', '鼠', '龙']",龙,True,26,-102,0
13,2025/5/13,"['牛', '猪', '狗', '鼠', '龙']",猴,False,-20,-122,1
14,2025/5/14,"['牛', '狗', '猪', '鼠', '龙']",龙,True,26,-96,0
15,2025/5/15,"['牛', '狗', '猪', '鼠', '龙']",蛇,False,-20,-116,1
16,2025/5/16,"['牛', '狗', '猪', '鼠', '龙']",鸡,False,-20,-136,2
17,2025/5/17,"['鼠', '牛', '狗', '猪', '龙']",马,False,-20,-156,3
18,2025/5/18,"['鼠', '牛', '狗', '猪', '龙']",牛,True,26,-130,0
19,2025/5/19,"['鼠', '狗', '猪', '兔', '龙']",龙,True,26,-104,0
20,2025/5/20,"['鼠', '狗', '猪', '兔', '龙']",羊,False,-20,-124,1
21,2025/5/21,"['鼠', '狗', '猪', '兔', '龙']",蛇,False,-20,-144,2
22,2025/5/22,"['鼠', '狗', '猪', '兔', '龙']",狗,True,26,-118,0
23,2025/5/23,"['鼠', '猪', '兔', '虎', '龙']",猴,False,-20,-138,1
24,2025/5/24,"['鼠', '猪', '兔', '虎', '龙']",蛇,False,-20,-158,2
