period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,is_betting,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,status
31,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,37,否,是,0,4,6.0,96.0,-96.0,85.0,85.0,❌ [触发止损，暂停投注]
32,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,13,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第1期]
33,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,42,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第2期]
34,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,39,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第3期]
35,"猴, 牛, 马, 兔","5, 7, 10, 12, 17, 19, 22, 24, 29, 31, 34, 36, 41, 43, 46, 48",16,2,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第4期]
36,"马, 猴, 牛, 兔","5, 7, 10, 12, 17, 19, 22, 24, 29, 31, 34, 36, 41, 43, 46, 48",16,46,是,是,0,0,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停中-本期会中，恢复投注]
37,"猴, 羊, 牛, 蛇","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,4,否,是,0,1,1.0,16.0,-16.0,69.0,69.0,❌
38,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,28,否,是,0,2,2.0,32.0,-32.0,37.0,37.0,❌
39,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,1,否,是,0,3,4.0,64.0,-64.0,-27.0,-27.0,❌
40,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,34,否,是,0,4,6.0,96.0,-96.0,-123.0,-123.0,❌ [触发止损，暂停投注]
41,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,8,否,否,0,4,0.0,0.0,0.0,-123.0,-123.0,⏸️ [暂停投注第1期]
42,"蛇, 羊, 猴, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,24,是,是,0,0,0.0,0.0,0.0,-123.0,-123.0,⏸️ [暂停中-本期会中，恢复投注]
43,"蛇, 羊, 牛, 兔","5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47",16,44,否,是,0,1,1.0,16.0,-16.0,-139.0,-139.0,❌
44,"羊, 蛇, 兔, 虎","6, 7, 9, 11, 18, 19, 21, 23, 30, 31, 33, 35, 42, 43, 45, 47",16,6,是,是,1,0,2.0,32.0,62.0,-77.0,-77.0,✅
45,"兔, 蛇, 羊, 牛","5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47",16,25,否,是,0,1,1.0,16.0,-16.0,-93.0,-93.0,❌
46,"兔, 蛇, 羊, 牛","5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47",16,12,否,是,0,2,2.0,32.0,-32.0,-125.0,-125.0,❌
47,"蛇, 兔, 羊, 牛","5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47",16,35,是,是,1,0,4.0,64.0,124.0,-1.0,-1.0,✅
48,"兔, 蛇, 牛, 羊","5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47",16,23,是,是,2,0,1.0,16.0,31.0,30.0,30.0,✅
49,"兔, 蛇, 牛, 狗","2, 5, 7, 9, 14, 17, 19, 21, 26, 29, 31, 33, 38, 41, 43, 45",16,33,是,是,3,0,1.0,16.0,31.0,61.0,61.0,✅
50,"兔, 牛, 蛇, 狗","2, 5, 7, 9, 14, 17, 19, 21, 26, 29, 31, 33, 38, 41, 43, 45",16,17,是,是,4,0,1.0,16.0,31.0,92.0,92.0,✅
51,"兔, 马, 蛇, 狗","2, 7, 9, 10, 14, 19, 21, 22, 26, 31, 33, 34, 38, 43, 45, 46",16,42,否,是,0,1,1.0,16.0,-16.0,76.0,76.0,❌
52,"兔, 马, 蛇, 狗","2, 7, 9, 10, 14, 19, 21, 22, 26, 31, 33, 34, 38, 43, 45, 46",16,48,否,是,0,2,2.0,32.0,-32.0,44.0,44.0,❌
53,"兔, 马, 蛇, 狗","2, 7, 9, 10, 14, 19, 21, 22, 26, 31, 33, 34, 38, 43, 45, 46",16,28,否,是,0,3,4.0,64.0,-64.0,-20.0,-20.0,❌
54,"兔, 马, 龙, 蛇","7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46",16,38,否,是,0,4,6.0,96.0,-96.0,-116.0,-116.0,❌ [触发止损，暂停投注]
55,"兔, 猪, 马, 龙","3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46",16,47,否,否,0,4,0.0,0.0,0.0,-116.0,-116.0,⏸️ [暂停投注第1期]
56,"兔, 猪, 马, 龙","3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46",16,3,是,是,0,0,0.0,0.0,0.0,-116.0,-116.0,⏸️ [暂停中-本期会中，恢复投注]
57,"兔, 马, 龙, 蛇","7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46",16,33,是,是,1,0,1.0,16.0,31.0,-85.0,-85.0,✅
58,"兔, 马, 龙, 牛","5, 7, 8, 10, 17, 19, 20, 22, 29, 31, 32, 34, 41, 43, 44, 46",16,44,是,是,2,0,1.0,16.0,31.0,-54.0,-54.0,✅
59,"兔, 马, 牛, 猪","3, 5, 7, 10, 15, 17, 19, 22, 27, 29, 31, 34, 39, 41, 43, 46",16,38,否,是,0,1,1.0,16.0,-16.0,-70.0,-70.0,❌
60,"兔, 马, 牛, 猪","3, 5, 7, 10, 15, 17, 19, 22, 27, 29, 31, 34, 39, 41, 43, 46",16,43,是,是,1,0,2.0,32.0,62.0,-8.0,-8.0,✅
61,"马, 牛, 兔, 猪","3, 5, 7, 10, 15, 17, 19, 22, 27, 29, 31, 34, 39, 41, 43, 46",16,10,是,是,2,0,1.0,16.0,31.0,23.0,23.0,✅
62,"牛, 兔, 鸡, 虎","1, 5, 6, 7, 13, 17, 18, 19, 25, 29, 30, 31, 37, 41, 42, 43, 49",17,41,是,是,3,0,1.0,17.0,30.0,53.0,53.0,✅
63,"兔, 鸡, 虎, 猪","1, 3, 6, 7, 13, 15, 18, 19, 25, 27, 30, 31, 37, 39, 42, 43, 49",17,29,否,是,0,1,1.0,17.0,-17.0,36.0,36.0,❌
64,"虎, 兔, 鸡, 猪","1, 3, 6, 7, 13, 15, 18, 19, 25, 27, 30, 31, 37, 39, 42, 43, 49",17,10,否,是,0,2,2.0,34.0,-34.0,2.0,2.0,❌
65,"虎, 兔, 猪, 鸡","1, 3, 6, 7, 13, 15, 18, 19, 25, 27, 30, 31, 37, 39, 42, 43, 49",17,31,是,是,1,0,4.0,68.0,120.0,122.0,122.0,✅
66,"鸡, 虎, 猪, 羊","1, 3, 6, 11, 13, 15, 18, 23, 25, 27, 30, 35, 37, 39, 42, 47, 49",17,35,是,是,2,0,1.0,17.0,30.0,152.0,152.0,✅
67,"鸡, 猪, 虎, 蛇","1, 3, 6, 9, 13, 15, 18, 21, 25, 27, 30, 33, 37, 39, 42, 45, 49",17,6,是,是,3,0,1.0,17.0,30.0,182.0,182.0,✅
68,"鸡, 猪, 蛇, 鼠","1, 3, 4, 9, 13, 15, 16, 21, 25, 27, 28, 33, 37, 39, 40, 45, 49",17,36,否,是,0,1,1.0,17.0,-17.0,165.0,165.0,❌
69,"鸡, 猪, 鼠, 蛇","1, 3, 4, 9, 13, 15, 16, 21, 25, 27, 28, 33, 37, 39, 40, 45, 49",17,4,是,是,1,0,2.0,34.0,60.0,225.0,225.0,✅
70,"鸡, 猪, 狗, 蛇","1, 2, 3, 9, 13, 14, 15, 21, 25, 26, 27, 33, 37, 38, 39, 45, 49",17,44,否,是,0,1,1.0,17.0,-17.0,208.0,208.0,❌
71,"鸡, 猪, 狗, 蛇","1, 2, 3, 9, 13, 14, 15, 21, 25, 26, 27, 33, 37, 38, 39, 45, 49",17,45,是,是,1,0,2.0,34.0,60.0,268.0,268.0,✅
72,"鸡, 猪, 狗, 兔","1, 2, 3, 7, 13, 14, 15, 19, 25, 26, 27, 31, 37, 38, 39, 43, 49",17,9,否,是,0,1,1.0,17.0,-17.0,251.0,251.0,❌
73,"鸡, 猪, 狗, 兔","1, 2, 3, 7, 13, 14, 15, 19, 25, 26, 27, 31, 37, 38, 39, 43, 49",17,16,否,是,0,2,2.0,34.0,-34.0,217.0,217.0,❌
74,"鸡, 猪, 狗, 兔","1, 2, 3, 7, 13, 14, 15, 19, 25, 26, 27, 31, 37, 38, 39, 43, 49",17,28,否,是,0,3,4.0,68.0,-68.0,149.0,149.0,❌
