period,global_period,date,top4_zodiacs,bet_numbers,bet_count,actual,actual_animal,is_hit,is_hit_number,is_hit_animal,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,model_used
24,289,2025/11/18,"['猪', '猴', '鸡', '狗']","[9, 10, 11, 12, 21, 22, 23, 24, 33, 34, 35, 36, 45, 46, 47, 48]",16,47,羊,True,True,False,1,0,2.0,32.0,62.0,198.5,198.5,集成投票模型(v10 + 优化版)
25,290,2025/11/19,"['猪', '猴', '狗', '鸡']","[9, 10, 11, 12, 21, 22, 23, 24, 33, 34, 35, 36, 45, 46, 47, 48]",16,9,鸡,True,True,True,2,0,0.5,8.0,15.5,214.0,214.0,集成投票模型(v10 + 优化版)
26,291,2025/11/20,"['猪', '兔', '蛇', '猴']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,15,兔,False,False,True,0,1,0.5,8.0,-8.0,206.0,206.0,集成投票模型(v10 + 优化版)
27,292,2025/11/21,"['猪', '蛇', '猴', '狗']","[6, 9, 11, 12, 18, 21, 23, 24, 30, 33, 35, 36, 42, 45, 47, 48]",16,4,虎,False,False,False,0,2,2.0,32.0,-32.0,174.0,174.0,集成投票模型(v10 + 优化版)
28,293,2025/11/22,"['猪', '猴', '蛇', '狗']","[6, 9, 11, 12, 18, 21, 23, 24, 30, 33, 35, 36, 42, 45, 47, 48]",16,19,猪,False,False,True,0,3,4.0,64.0,-64.0,110.0,110.0,集成投票模型(v10 + 优化版)
29,294,2025/11/23,"['猴', '蛇', '牛', '狗']","[2, 6, 9, 11, 14, 18, 21, 23, 26, 30, 33, 35, 38, 42, 45, 47]",16,37,蛇,False,False,True,0,4,6.0,96.0,-96.0,14.0,14.0,集成投票模型(v10 + 优化版)
30,295,2025/11/24,"['狗', '猴', '牛', '马']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,3,兔,False,False,False,0,5,8.0,128.0,-128.0,-114.0,-114.0,集成投票模型(v10 + 优化版)
31,296,2025/11/25,"['狗', '猴', '牛', '马']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,17,牛,False,False,True,0,6,10.0,160.0,-160.0,-274.0,-274.0,集成投票模型(v10 + 优化版)
32,297,2025/11/26,"['狗', '猴', '猪', '马']","[7, 9, 11, 12, 19, 21, 23, 24, 31, 33, 35, 36, 43, 45, 47, 48]",16,36,马,True,True,True,1,0,10.0,160.0,310.0,36.0,36.0,集成投票模型(v10 + 优化版)
33,298,2025/11/27,"['猴', '狗', '猪', '龙']","[5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48]",16,26,龙,False,False,True,0,1,0.5,8.0,-8.0,28.0,28.0,集成投票模型(v10 + 优化版)
