total_bet,total_win,balance,roi,max_drawdown,boost_periods,reduce_periods,hit_count,hit_rate,lookback,good_threshold,bad_threshold,boost_multiplier,reduce_multiplier,reward_risk_ratio
7998.0,10828.799999999996,2830.800000000001,35.39384846211554,639.2,75,26,69,34.5,12,0.35,0.2,1.2,0.8,0.055285611468471635
7998.0,10828.799999999996,2830.800000000001,35.39384846211554,639.2,75,26,69,34.5,12,0.4,0.2,1.2,0.8,0.055285611468471635
8172.0,11059.100000000004,2887.0999999999995,35.329172785119916,633.5,75,26,69,34.5,12,0.4,0.2,1.3,0.8,0.05568033535873903
8172.0,11059.100000000004,2887.0999999999995,35.329172785119916,633.5,75,26,69,34.5,12,0.35,0.2,1.3,0.8,0.05568033535873903
8520.0,11519.699999999999,2999.7000000000003,35.20774647887324,622.1,75,26,69,34.5,12,0.35,0.2,1.5,0.8,0.05650416703398048
8520.0,11519.699999999999,2999.7000000000003,35.20774647887324,622.1,75,26,69,34.5,12,0.4,0.2,1.5,0.8,0.05650416703398048
7755.0,10471.599999999993,2716.6000000000013,35.030303030303045,600.2,75,61,69,34.5,12,0.4,0.3,1.2,0.8,0.058267303776285834
7755.0,10471.599999999993,2716.6000000000013,35.030303030303045,600.2,75,61,69,34.5,12,0.4,0.25,1.2,0.8,0.058267303776285834
7755.0,10471.599999999993,2716.6000000000013,35.030303030303045,600.2,75,61,69,34.5,12,0.35,0.25,1.2,0.8,0.058267303776285834
7755.0,10471.599999999993,2716.6000000000013,35.030303030303045,600.2,75,61,69,34.5,12,0.35,0.3,1.2,0.8,0.058267303776285834
7929.0,10701.900000000003,2772.8999999999996,34.97162315550511,594.5,75,61,69,34.5,12,0.35,0.25,1.3,0.8,0.058726487246859964
7929.0,10701.900000000003,2772.8999999999996,34.97162315550511,594.5,75,61,69,34.5,12,0.35,0.3,1.3,0.8,0.058726487246859964
7929.0,10701.900000000003,2772.8999999999996,34.97162315550511,594.5,75,61,69,34.5,12,0.4,0.3,1.3,0.8,0.058726487246859964
7929.0,10701.900000000003,2772.8999999999996,34.97162315550511,594.5,75,61,69,34.5,12,0.4,0.25,1.3,0.8,0.058726487246859964
7740.0,10443.399999999996,2703.400000000001,34.92764857881138,593.8000000000001,51,26,69,34.5,8,0.45,0.2,1.2,0.8,0.05872166876061092
7740.0,10443.399999999996,2703.400000000001,34.92764857881138,593.8000000000001,51,26,69,34.5,8,0.4,0.2,1.2,0.8,0.05872166876061092
7581.0,10227.199999999995,2646.200000000001,34.90568526579608,600.2,41,62,69,34.5,15,0.45,0.3,1.2,0.8,0.05806002206552907
7690.5,10372.899999999996,2682.400000000001,34.879396658214695,580.5,75,26,69,34.5,12,0.35,0.2,1.2,0.7,0.0599817655343331
7690.5,10372.899999999996,2682.400000000001,34.879396658214695,580.5,75,26,69,34.5,12,0.4,0.2,1.2,0.7,0.0599817655343331
8277.0,11162.499999999996,2885.500000000001,34.861664854415864,583.1,75,61,69,34.5,12,0.35,0.25,1.5,0.8,0.05968441166652262
8277.0,11162.499999999996,2885.500000000001,34.861664854415864,583.1,75,61,69,34.5,12,0.35,0.3,1.5,0.8,0.05968441166652262
8277.0,11162.499999999996,2885.500000000001,34.861664854415864,583.1,75,61,69,34.5,12,0.4,0.25,1.5,0.8,0.05968441166652262
8277.0,11162.499999999996,2885.500000000001,34.861664854415864,583.1,75,61,69,34.5,12,0.4,0.3,1.5,0.8,0.05968441166652262
7828.5,10556.200000000004,2727.6999999999994,34.84320112409784,593.4,51,26,69,34.5,8,0.4,0.2,1.3,0.8,0.05861911360043378
7828.5,10556.200000000004,2727.6999999999994,34.84320112409784,593.4,51,26,69,34.5,8,0.45,0.2,1.3,0.8,0.05861911360043378
7864.5,10603.200000000004,2738.6999999999994,34.823574289528885,574.8,75,26,69,34.5,12,0.35,0.2,1.3,0.7,0.060478593764378065
7864.5,10603.200000000004,2738.6999999999994,34.823574289528885,574.8,75,26,69,34.5,12,0.4,0.2,1.3,0.7,0.060478593764378065
7851.0,10584.399999999998,2733.4,34.81594701311935,663.2,41,25,69,34.5,15,0.45,0.25,1.2,0.8,0.05241786662619594
7851.0,10584.399999999998,2733.4,34.81594701311935,663.2,41,25,69,34.5,15,0.45,0.2,1.2,0.8,0.05241786662619594
7803.0,10518.599999999995,2715.6000000000013,34.80199923106499,601.6000000000001,81,62,69,34.5,15,0.4,0.3,1.2,0.8,0.05775306875384165
7803.0,10518.599999999995,2715.6000000000013,34.80199923106499,601.6000000000001,81,62,69,34.5,15,0.35,0.3,1.2,0.8,0.05775306875384165
7818.0,10537.399999999996,2719.4000000000005,34.783832182143776,668.6,42,26,69,34.5,12,0.45,0.2,1.2,0.8,0.051947180678231446
8212.5,11063.800000000001,2851.2999999999997,34.719025875190255,563.4,75,26,69,34.5,12,0.35,0.2,1.5,0.7,0.06151492890714078
8212.5,11063.800000000001,2851.2999999999997,34.719025875190255,563.4,75,26,69,34.5,12,0.4,0.2,1.5,0.7,0.06151492890714078
8073.0,10875.799999999996,2802.8000000000006,34.7181964573269,664.6000000000001,81,25,69,34.5,15,0.35,0.25,1.2,0.8,0.05216075188901276
8073.0,10875.799999999996,2802.8000000000006,34.7181964573269,664.6000000000001,81,25,69,34.5,15,0.35,0.2,1.2,0.8,0.05216075188901276
8073.0,10875.799999999996,2802.8000000000006,34.7181964573269,664.6000000000001,81,25,69,34.5,15,0.4,0.25,1.2,0.8,0.05216075188901276
8073.0,10875.799999999996,2802.8000000000006,34.7181964573269,664.6000000000001,81,25,69,34.5,15,0.4,0.2,1.2,0.8,0.05216075188901276
