total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8307.0,11331.700000000003,3024.6999999999994,36.411460214277106,768.0,23,69,34.5,15,0.5,1.1,0.04734910300946308
8439.0,11510.300000000008,3071.2999999999984,36.39412252636566,762.3,75,69,34.5,12,0.38,1.1,0.04767997186737281
8439.0,11510.300000000008,3071.2999999999984,36.39412252636566,762.3,75,69,34.5,12,0.4,1.1,0.04767997186737281
8439.0,11510.300000000008,3071.2999999999984,36.39412252636566,762.3,75,69,34.5,12,0.35,1.1,0.04767997186737281
8353.5,11392.800000000005,3039.299999999999,36.38355180463277,767.6,51,69,34.5,8,0.45,1.1,0.04733743404193699
8353.5,11392.800000000005,3039.299999999999,36.38355180463277,767.6,51,69,34.5,8,0.38,1.1,0.04733743404193699
8353.5,11392.800000000005,3039.299999999999,36.38355180463277,767.6,51,69,34.5,8,0.4,1.1,0.04733743404193699
8353.5,11392.800000000005,3039.299999999999,36.38355180463277,767.6,51,69,34.5,8,0.42,1.1,0.04733743404193699
8353.5,11392.800000000005,3039.299999999999,36.38355180463277,767.6,51,69,34.5,8,0.5,1.1,0.04733743404193699
8328.0,11357.549999999997,3029.5500000000006,36.37788184438041,768.0,23,69,34.5,15,0.5,1.15,0.04730543802910327
8526.0,11625.449999999992,3099.4500000000016,36.35292047853626,759.45,75,69,34.5,12,0.35,1.15,0.04780448481627492
8526.0,11625.449999999992,3099.4500000000016,36.35292047853626,759.45,75,69,34.5,12,0.4,1.15,0.04780448481627492
8526.0,11625.449999999992,3099.4500000000016,36.35292047853626,759.45,75,69,34.5,12,0.38,1.15,0.04780448481627492
8349.0,11383.4,3034.4,36.344472391903224,768.0,23,69,34.5,15,0.5,1.2,0.04726199270728638
8397.75,11449.199999999995,3051.450000000001,36.336518710368864,767.4,51,69,34.5,8,0.42,1.15,0.047288545953108885
8397.75,11449.199999999995,3051.450000000001,36.336518710368864,767.4,51,69,34.5,8,0.5,1.15,0.047288545953108885
8397.75,11449.199999999995,3051.450000000001,36.336518710368864,767.4,51,69,34.5,8,0.45,1.15,0.047288545953108885
8397.75,11449.199999999995,3051.450000000001,36.336518710368864,767.4,51,69,34.5,8,0.4,1.15,0.047288545953108885
8397.75,11449.199999999995,3051.450000000001,36.336518710368864,767.4,51,69,34.5,8,0.38,1.15,0.047288545953108885
8613.0,11740.599999999997,3127.600000000001,36.31255079530942,756.6000000000001,75,69,34.5,12,0.35,1.2,0.04793103325674421
8613.0,11740.599999999997,3127.600000000001,36.31255079530942,756.6000000000001,75,69,34.5,12,0.4,1.2,0.04793103325674421
8613.0,11740.599999999997,3127.600000000001,36.31255079530942,756.6000000000001,75,69,34.5,12,0.38,1.2,0.04793103325674421
8370.0,11409.25,3039.25,36.311230585424134,768.0,23,69,34.5,15,0.5,1.25,0.04721876539066858
8338.5,11364.600000000004,3026.099999999999,36.29069976614498,770.8,41,69,34.5,15,0.45,1.1,0.047020860023509956
8338.5,11364.600000000004,3026.099999999999,36.29069976614498,770.8,41,69,34.5,15,0.42,1.1,0.047020860023509956
8442.0,11505.599999999995,3063.6000000000013,36.289978678038395,767.2,51,69,34.5,8,0.5,1.2,0.047240274248943497
8442.0,11505.599999999995,3063.6000000000013,36.289978678038395,767.2,51,69,34.5,8,0.38,1.2,0.047240274248943497
8442.0,11505.599999999995,3063.6000000000013,36.289978678038395,767.2,51,69,34.5,8,0.4,1.2,0.047240274248943497
8442.0,11505.599999999995,3063.6000000000013,36.289978678038395,767.2,51,69,34.5,8,0.42,1.2,0.047240274248943497
8442.0,11505.599999999995,3063.6000000000013,36.289978678038395,767.2,51,69,34.5,8,0.45,1.2,0.047240274248943497
8359.5,11392.800000000005,3033.299999999999,36.285663018123074,773.8,48,69,34.5,10,0.45,1.1,0.046832296099797464
8359.5,11392.800000000005,3033.299999999999,36.285663018123074,773.8,48,69,34.5,10,0.5,1.1,0.046832296099797464
8359.5,11392.800000000005,3033.299999999999,36.285663018123074,773.8,48,69,34.5,10,0.42,1.1,0.046832296099797464
8391.0,11435.1,3044.1,36.278155166249554,768.0,23,69,34.5,15,0.5,1.3,0.047175754442457155
8700.0,11855.75,3155.75,36.27298850574713,753.75,75,69,34.5,12,0.4,1.25,0.04805960716230159
8700.0,11855.75,3155.75,36.27298850574713,753.75,75,69,34.5,12,0.35,1.25,0.04805960716230159
8700.0,11855.75,3155.75,36.27298850574713,753.75,75,69,34.5,12,0.38,1.25,0.04805960716230159
8486.25,11562.0,3075.75,36.243923994697305,767.0,51,69,34.5,8,0.5,1.25,0.047192609368095446
8486.25,11562.0,3075.75,36.243923994697305,767.0,51,69,34.5,8,0.42,1.25,0.047192609368095446
8486.25,11562.0,3075.75,36.243923994697305,767.0,51,69,34.5,8,0.4,1.25,0.047192609368095446
8486.25,11562.0,3075.75,36.243923994697305,767.0,51,69,34.5,8,0.45,1.25,0.047192609368095446
8486.25,11562.0,3075.75,36.243923994697305,767.0,51,69,34.5,8,0.38,1.25,0.047192609368095446
8787.0,11970.900000000003,3183.899999999999,36.23420962785933,750.8999999999999,75,69,34.5,12,0.38,1.3,0.048190197669715835
8787.0,11970.900000000003,3183.899999999999,36.23420962785933,750.8999999999999,75,69,34.5,12,0.4,1.3,0.048190197669715835
8787.0,11970.900000000003,3183.899999999999,36.23420962785933,750.8999999999999,75,69,34.5,12,0.35,1.3,0.048190197669715835
8449.5,11510.300000000008,3060.7999999999984,36.22462867625301,771.5,81,69,34.5,15,0.38,1.1,0.04689272320550552
