period,date,top_n,zodiacs,actual,is_hit,cost,profit,cumulative_profit,consecutive_misses,reason
128,2025/9/7,5,"['牛', '羊', '鸡', '猪', '蛇']",马,False,20,-20,-530,2,连续1期不中，增加到TOP5
129,2025/9/8,6,"['牛', '羊', '鸡', '猪', '蛇', '狗']",羊,True,24,22,-508,0,连续2期不中，增加到TOP6
130,2025/9/9,4,"['牛', '鸡', '猪', '猴']",羊,False,16,-16,-524,1,正常投注TOP4
131,2025/9/10,5,"['牛', '鸡', '猪', '马', '蛇']",鸡,True,20,26,-498,0,连续1期不中，增加到TOP5
132,2025/9/11,4,"['牛', '猪', '马', '蛇']",牛,True,16,30,-468,0,正常投注TOP4
133,2025/9/12,4,"['猪', '猴', '马', '羊']",鼠,False,16,-16,-484,1,正常投注TOP4
134,2025/9/13,5,"['猪', '猴', '鸡', '马', '鼠']",马,True,20,26,-458,0,连续1期不中，增加到TOP5
135,2025/9/14,4,"['猪', '猴', '牛', '鸡']",虎,False,16,-16,-474,1,正常投注TOP4
136,2025/9/15,5,"['猪', '猴', '狗', '牛', '鼠']",龙,False,20,-20,-494,2,连续1期不中，增加到TOP5
137,2025/9/16,6,"['猪', '猴', '狗', '牛', '鼠', '虎']",羊,False,24,-24,-518,3,连续2期不中，增加到TOP6
138,2025/9/17,7,"['猪', '狗', '猴', '牛', '鼠', '龙', '蛇']",兔,False,28,-28,-546,4,连续3期不中，增加到TOP7
139,2025/9/18,8,"['猪', '狗', '牛', '鸡', '鼠', '龙', '蛇', '虎']",鸡,True,32,14,-532,0,连续4期不中，增加到TOP8
140,2025/9/19,4,"['猪', '狗', '牛', '猴']",狗,True,16,30,-502,0,正常投注TOP4
141,2025/9/20,4,"['猪', '猴', '牛', '蛇']",龙,False,16,-16,-518,1,正常投注TOP4
142,2025/9/21,5,"['猪', '猴', '鸡', '牛', '鼠']",猪,True,20,26,-492,0,连续1期不中，增加到TOP5
143,2025/9/22,4,"['猴', '牛', '鸡', '兔']",猴,True,16,30,-462,0,正常投注TOP4
144,2025/9/23,4,"['牛', '鸡', '兔', '羊']",牛,True,16,30,-432,0,正常投注TOP4
145,2025/9/24,4,"['猪', '蛇', '鸡', '兔']",牛,False,16,-16,-448,1,正常投注TOP4
146,2025/9/25,5,"['鼠', '猪', '蛇', '鸡', '牛']",猴,False,20,-20,-468,2,连续1期不中，增加到TOP5
147,2025/9/26,6,"['鼠', '猪', '蛇', '鸡', '猴', '牛']",猪,True,24,22,-446,0,连续2期不中，增加到TOP6
148,2025/9/27,4,"['蛇', '鼠', '龙', '兔']",羊,False,16,-16,-462,1,正常投注TOP4
149,2025/9/28,5,"['蛇', '兔', '鼠', '龙', '羊']",鼠,True,20,26,-436,0,连续1期不中，增加到TOP5
150,2025/9/29,4,"['蛇', '兔', '虎', '鸡']",马,False,16,-16,-452,1,正常投注TOP4
151,2025/9/30,5,"['兔', '蛇', '虎', '鸡', '马']",虎,True,20,26,-426,0,连续1期不中，增加到TOP5
152,2025/10/1,4,"['蛇', '兔', '鸡', '龙']",狗,False,16,-16,-442,1,正常投注TOP4
153,2025/10/2,5,"['蛇', '兔', '鸡', '龙', '马']",鸡,True,20,26,-416,0,连续1期不中，增加到TOP5
154,2025/10/3,4,"['蛇', '兔', '龙', '虎']",鸡,False,16,-16,-432,1,正常投注TOP4
155,2025/10/4,5,"['蛇', '兔', '龙', '虎', '羊']",虎,True,20,26,-406,0,连续1期不中，增加到TOP5
156,2025/10/5,4,"['蛇', '兔', '龙', '狗']",虎,False,16,-16,-422,1,正常投注TOP4
157,2025/10/6,5,"['蛇', '兔', '猴', '龙', '虎']",兔,True,20,26,-396,0,连续1期不中，增加到TOP5
158,2025/10/7,4,"['蛇', '猴', '猪', '龙']",鼠,False,16,-16,-412,1,正常投注TOP4
159,2025/10/8,5,"['蛇', '猴', '猪', '龙', '虎']",羊,False,20,-20,-432,2,连续1期不中，增加到TOP5
160,2025/10/9,6,"['蛇', '猴', '猪', '龙', '虎', '羊']",牛,False,24,-24,-456,3,连续2期不中，增加到TOP6
161,2025/10/10,7,"['蛇', '猴', '猪', '龙', '牛', '虎', '鸡']",鸡,True,28,18,-438,0,连续3期不中，增加到TOP7
162,2025/10/11,4,"['蛇', '龙', '猪', '猴']",牛,False,16,-16,-454,1,正常投注TOP4
163,2025/10/12,5,"['蛇', '龙', '猴', '马', '牛']",马,True,20,26,-428,0,连续1期不中，增加到TOP5
164,2025/10/13,4,"['蛇', '龙', '猴', '猪']",兔,False,16,-16,-444,1,正常投注TOP4
165,2025/10/14,5,"['蛇', '龙', '狗', '猴', '牛']",猴,True,20,26,-418,0,连续1期不中，增加到TOP5
166,2025/10/15,4,"['蛇', '龙', '狗', '猪']",龙,True,16,30,-388,0,正常投注TOP4
167,2025/10/16,4,"['蛇', '狗', '猪', '马']",鼠,False,16,-16,-404,1,正常投注TOP4
168,2025/10/17,5,"['蛇', '猪', '狗', '马', '牛']",猪,True,20,26,-378,0,连续1期不中，增加到TOP5
169,2025/10/18,4,"['蛇', '狗', '兔', '马']",狗,True,16,30,-348,0,正常投注TOP4
170,2025/10/19,4,"['蛇', '兔', '马', '羊']",龙,False,16,-16,-364,1,正常投注TOP4
171,2025/10/20,5,"['蛇', '兔', '羊', '虎', '牛']",羊,True,20,26,-338,0,连续1期不中，增加到TOP5
172,2025/10/21,4,"['蛇', '兔', '狗', '鸡']",鼠,False,16,-16,-354,1,正常投注TOP4
173,2025/10/22,5,"['蛇', '龙', '兔', '狗', '鼠']",牛,False,20,-20,-374,2,连续1期不中，增加到TOP5
174,2025/10/23,6,"['蛇', '龙', '马', '兔', '牛', '鼠']",猴,False,24,-24,-398,3,连续2期不中，增加到TOP6
175,2025/10/24,7,"['蛇', '兔', '龙', '马', '鼠', '牛', '虎']",狗,False,28,-28,-426,4,连续3期不中，增加到TOP7
176,2025/10/25,8,"['蛇', '马', '兔', '龙', '鼠', '牛', '虎', '羊']",羊,True,32,14,-412,0,连续4期不中，增加到TOP8
177,2025/10/26,4,"['蛇', '兔', '马', '龙']",蛇,True,16,30,-382,0,正常投注TOP4
178,2025/10/27,4,"['兔', '马', '龙', '猴']",虎,False,16,-16,-398,1,正常投注TOP4
179,2025/10/28,5,"['猪', '兔', '马', '猴', '鼠']",牛,False,20,-20,-418,2,连续1期不中，增加到TOP5
180,2025/10/29,6,"['猪', '蛇', '兔', '马', '牛', '虎']",猴,False,24,-24,-442,3,连续2期不中，增加到TOP6
181,2025/10/30,7,"['猪', '马', '龙', '蛇', '牛', '虎', '鼠']",兔,False,28,-28,-470,4,连续3期不中，增加到TOP7
182,2025/10/31,8,"['猪', '马', '龙', '蛇', '牛', '鼠', '虎', '兔']",马,True,32,14,-456,0,连续4期不中，增加到TOP8
183,2025/11/1,4,"['猪', '龙', '蛇', '狗']",鼠,False,16,-16,-472,1,正常投注TOP4
184,2025/11/2,5,"['鸡', '猪', '龙', '蛇', '鼠']",牛,False,20,-20,-492,2,连续1期不中，增加到TOP5
185,2025/11/3,6,"['鸡', '猪', '龙', '蛇', '牛', '鼠']",狗,False,24,-24,-516,3,连续2期不中，增加到TOP6
186,2025/11/4,7,"['鸡', '猪', '龙', '蛇', '牛', '鼠', '兔']",兔,True,28,18,-498,0,连续3期不中，增加到TOP7
187,2025/11/5,4,"['鸡', '猪', '龙', '虎']",鼠,False,16,-16,-514,1,正常投注TOP4
188,2025/11/6,5,"['鸡', '猪', '蛇', '龙', '鼠']",虎,False,20,-20,-534,2,连续1期不中，增加到TOP5
189,2025/11/7,6,"['猪', '鸡', '蛇', '龙', '牛', '鼠']",蛇,True,24,22,-512,0,连续2期不中，增加到TOP6
190,2025/11/8,4,"['猪', '鸡', '羊', '龙']",龙,True,16,30,-482,0,正常投注TOP4
191,2025/11/9,4,"['猪', '鸡', '羊', '虎']",龙,False,16,-16,-498,1,正常投注TOP4
192,2025/11/10,5,"['鸡', '猪', '羊', '虎', '鼠']",羊,True,20,26,-472,0,连续1期不中，增加到TOP5
193,2025/11/11,4,"['鸡', '猪', '虎', '蛇']",虎,True,16,30,-442,0,正常投注TOP4
194,2025/11/12,4,"['鸡', '猪', '马', '蛇']",马,True,16,30,-412,0,正常投注TOP4
195,2025/11/13,4,"['鸡', '猪', '蛇', '兔']",鼠,False,16,-16,-428,1,正常投注TOP4
196,2025/11/14,5,"['鸡', '猪', '猴', '蛇', '鼠']",鼠,True,20,26,-402,0,连续1期不中，增加到TOP5
197,2025/11/15,4,"['鸡', '猪', '兔', '猴']",鸡,True,16,30,-372,0,正常投注TOP4
198,2025/11/16,4,"['猪', '兔', '猴', '马']",虎,False,16,-16,-388,1,正常投注TOP4
199,2025/11/17,5,"['猪', '兔', '猴', '马', '鼠']",羊,False,20,-20,-408,2,连续1期不中，增加到TOP5
200,2025/11/18,6,"['猪', '兔', '狗', '鸡', '鼠', '虎']",羊,False,24,-24,-432,3,连续2期不中，增加到TOP6
201,2025/11/19,7,"['猪', '猴', '兔', '鸡', '鼠', '羊', '虎']",鸡,True,28,18,-414,0,连续3期不中，增加到TOP7
202,2025/11/20,4,"['猪', '猴', '蛇', '龙']",兔,False,16,-16,-430,1,正常投注TOP4
203,2025/11/21,5,"['猪', '猴', '蛇', '龙', '鼠']",虎,False,20,-20,-450,2,连续1期不中，增加到TOP5
204,2025/11/22,6,"['猪', '猴', '龙', '蛇', '虎', '鼠']",猪,True,24,22,-428,0,连续2期不中，增加到TOP6
