period,date,top_n,zodiacs,actual,is_hit,cost,profit,cumulative_profit,consecutive_misses,reason
259,2026/1/16,5,"['鼠', '猴', '狗', '兔', '蛇']",鼠,True,20,26,90,0,连续1期不中，增加到TOP5
260,2026/1/17,4,"['猴', '狗', '虎', '兔']",狗,True,16,30,120,0,正常投注TOP4
261,2026/1/18,4,"['猴', '兔', '虎', '龙']",兔,True,16,30,150,0,正常投注TOP4
262,2026/1/19,4,"['猴', '虎', '鼠', '鸡']",猴,True,16,30,180,0,正常投注TOP4
263,2026/1/20,4,"['虎', '鼠', '狗', '马']",马,True,16,30,210,0,正常投注TOP4
264,2026/1/21,4,"['虎', '鼠', '狗', '兔']",鼠,True,16,30,240,0,正常投注TOP4
265,2026/1/22,4,"['虎', '狗', '兔', '猴']",鼠,False,16,-16,224,1,正常投注TOP4
266,2026/1/23,5,"['虎', '狗', '兔', '鸡', '羊']",羊,True,20,26,250,0,连续1期不中，增加到TOP5
267,2026/1/24,4,"['虎', '蛇', '狗', '兔']",虎,True,16,30,280,0,正常投注TOP4
268,2026/1/25,4,"['蛇', '狗', '兔', '猪']",蛇,True,16,30,310,0,正常投注TOP4
269,2026/1/26,4,"['牛', '兔', '狗', '猪']",猪,True,16,30,340,0,正常投注TOP4
270,2026/1/27,4,"['牛', '虎', '狗', '兔']",鸡,False,16,-16,324,1,正常投注TOP4
271,2026/1/28,5,"['牛', '狗', '虎', '兔', '鸡']",兔,True,20,26,350,0,连续1期不中，增加到TOP5
272,2026/1/29,4,"['牛', '狗', '龙', '虎']",蛇,False,16,-16,334,1,正常投注TOP4
273,2026/1/30,5,"['狗', '牛', '龙', '马', '蛇']",牛,True,20,26,360,0,连续1期不中，增加到TOP5
274,2026/1/31,4,"['狗', '龙', '马', '猴']",龙,True,16,30,390,0,正常投注TOP4
275,2026/2/1,4,"['狗', '马', '猴', '虎']",鼠,False,16,-16,374,1,正常投注TOP4
276,2026/2/2,5,"['马', '猴', '狗', '牛', '鼠']",牛,True,20,26,400,0,连续1期不中，增加到TOP5
277,2026/2/3,4,"['马', '猴', '狗', '龙']",猪,False,16,-16,384,1,正常投注TOP4
278,2026/2/4,5,"['马', '猴', '狗', '虎', '鼠']",兔,False,20,-20,364,2,连续1期不中，增加到TOP5
279,2026/2/5,6,"['马', '猴', '狗', '虎', '鼠', '兔']",蛇,False,24,-24,340,3,连续2期不中，增加到TOP6
280,2026/2/6,7,"['马', '猴', '狗', '虎', '鼠', '兔', '蛇']",猪,False,28,-28,312,4,连续3期不中，增加到TOP7
281,2026/2/7,8,"['狗', '马', '猴', '虎', '鼠', '兔', '蛇', '猪']",鼠,True,32,14,326,0,连续4期不中，增加到TOP8
282,2026/2/8,4,"['狗', '马', '猴', '鸡']",羊,False,16,-16,310,1,正常投注TOP4
283,2026/2/9,5,"['猴', '狗', '鸡', '虎', '鼠']",虎,True,20,26,336,0,连续1期不中，增加到TOP5
284,2026/2/10,4,"['马', '猴', '狗', '鸡']",马,True,16,30,366,0,正常投注TOP4
285,2026/2/11,4,"['猴', '狗', '鸡', '龙']",虎,False,16,-16,350,1,正常投注TOP4
286,2026/2/12,5,"['猴', '狗', '鸡', '羊', '鼠']",蛇,False,20,-20,330,2,连续1期不中，增加到TOP5
287,2026/2/13,6,"['猴', '狗', '鸡', '龙', '鼠', '蛇']",猪,False,24,-24,306,3,连续2期不中，增加到TOP6
288,2026/2/14,7,"['猴', '狗', '龙', '鸡', '鼠', '猪', '蛇']",蛇,True,28,18,324,0,连续3期不中，增加到TOP7
289,2026/2/15,4,"['猴', '狗', '龙', '鸡']",兔,False,16,-16,308,1,正常投注TOP4
290,2026/2/16,5,"['猴', '狗', '龙', '鸡', '蛇']",兔,False,20,-20,288,2,连续1期不中，增加到TOP5
291,2026/2/17,6,"['狗', '鸡', '猴', '龙', '兔', '蛇']",羊,False,24,-24,264,3,连续2期不中，增加到TOP6
292,2026/2/18,7,"['狗', '鸡', '猴', '龙', '蛇', '鼠', '兔']",马,False,28,-28,236,4,连续3期不中，增加到TOP7
293,2026/2/19,8,"['猴', '狗', '鸡', '龙', '蛇', '鼠', '兔', '猪']",猴,True,32,14,250,0,连续4期不中，增加到TOP8
294,2026/2/20,4,"['狗', '鸡', '龙', '牛']",马,False,16,-16,234,1,正常投注TOP4
295,2026/2/21,5,"['狗', '龙', '鸡', '牛', '蛇']",蛇,True,20,26,260,0,连续1期不中，增加到TOP5
296,2026/2/22,4,"['狗', '龙', '鸡', '鼠']",龙,True,16,30,290,0,正常投注TOP4
297,2026/2/23,4,"['狗', '鸡', '牛', '猴']",羊,False,16,-16,274,1,正常投注TOP4
298,2026/2/24,5,"['狗', '鸡', '牛', '虎', '蛇']",蛇,True,20,26,300,0,连续1期不中，增加到TOP5
299,2026/2/25,4,"['狗', '鸡', '牛', '虎']",羊,False,16,-16,284,1,正常投注TOP4
300,2026/2/26,5,"['狗', '鸡', '牛', '虎', '蛇']",猴,False,20,-20,264,2,连续1期不中，增加到TOP5
