period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
157,26,"[24, 22, 26, 12, 23, 21, 15, 8, 13, 7, 29, 30, 41, 49, 14]",True,False,1,15,47,32,2097,0,0,conservative,False
158,31,"[24, 22, 21, 23, 15, 13, 29, 8, 7, 28, 41, 49, 12, 14, np.int64(9)]",False,False,1,15,0,-15,2082,1,0,conservative,False
159,6,"[24, 22, 21, 23, 4, 15, 13, 7, 41, 27, 12, 28, 14, 29, np.int64(9)]",False,False,1,15,0,-15,2067,2,0,conservative,False
160,32,"[24, 22, 9, 21, 23, 15, 7, 13, 41, np.int64(11), 27, 12, 28, 14, 29]",False,False,2,30,0,-30,2037,3,0,conservative,False
161,39,"[11, 24, 9, 23, 21, 22, 7, 13, 27, 41, 28, 12, 29, 14, np.int64(1)]",False,False,3,45,0,-45,1992,4,0,conservative,False
162,46,"[11, 24, 1, 21, 23, 22, 13, 27, 41, 28, 12, 29, 14, np.int64(26), 15]",False,False,5,75,0,-75,1917,5,0,conservative,False
163,12,"[26, 11, 24, 1, 23, 21, 22, 13, 41, 8, 12, 27, 29, 14, 28]",True,False,8,120,376,256,2173,0,0,conservative,False
164,42,"[26, 11, 24, 1, 22, 23, 21, 13, 9, 15, 29, 27, 14, 31, 41]",False,False,1,15,0,-15,2158,1,0,conservative,False
165,18,"[26, 11, 1, 22, 23, 21, 6, 15, 27, 29, 13, 14, 24, 31, 41]",False,False,1,15,0,-15,2143,2,0,conservative,False
166,47,"[26, 11, 1, 22, 21, 6, 7, 27, 29, 15, 13, 23, 24, 31, 14]",False,False,2,30,0,-30,2113,3,0,conservative,False
167,28,"[26, 11, 1, 22, 21, 6, 9, 27, 29, 15, 13, 23, 24, 31, 14]",False,False,3,45,0,-45,2068,4,0,conservative,False
168,37,"[26, 11, 1, 22, 21, 6, 9, 27, 29, 15, 13, 23, 31, 24, 41]",False,False,5,75,0,-75,1993,5,0,conservative,False
169,19,"[11, 1, 22, 21, 26, 6, 12, 9, 27, 29, 13, 24, 23, 31, 32]",False,False,8,120,0,-120,1873,6,0,conservative,False
170,45,"[11, 1, 22, 21, 26, 6, 12, 9, 27, 13, 23, 31, 32, 29, 14]",False,False,13,195,0,-195,1678,7,0,conservative,False
171,3,"[1, 11, 26, 21, 12, 6, 18, 27, 9, 13, 31, 22, 32, 29, 15]",False,False,21,315,0,-315,1363,8,0,conservative,False
172,1,"[6, 1, 2, 4, 41, 43, 9, 11, 12, 5, 26, 21, 42, 46, 7]",True,False,34,510,1598,1088,2451,0,0,conservative,False
173,41,"[6, 2, 4, 5, 41, 43, 9, 11, 28, 12, 42, 46, 7, 21, 26]",True,False,1,15,47,32,2483,0,0,conservative,False
174,26,"[6, 2, 4, 5, 9, 11, 12, 28, 42, 46, 21, 7, 8, 43, 47]",False,False,1,15,0,-15,2468,1,0,conservative,False
175,6,"[6, 2, 4, 5, 9, 12, 11, 28, 42, 46, 21, 7, 8, 47, 10]",True,False,1,15,47,32,2500,0,0,conservative,False
176,41,"[9, 2, 4, 5, 7, 11, 12, 42, 28, 46, 45, 21, 27, 47, 8]",False,False,1,15,0,-15,2485,1,0,conservative,False
