period,hit,paused,multiplier,bet,profit,balance
73,False,True,0,0,0,-268
74,False,False,1,15,-15,-283
75,True,False,1,15,32,-251
76,True,True,0,0,0,-251
77,False,False,1,15,-15,-266
78,False,False,1,15,-15,-281
79,False,False,2,30,-30,-311
80,False,False,3,45,-45,-356
81,True,False,5,75,160,-196
82,False,True,0,0,0,-196
83,False,False,1,15,-15,-211
84,False,False,1,15,-15,-226
85,False,False,2,30,-30,-256
86,False,False,3,45,-45,-301
87,False,False,5,75,-75,-376
88,True,False,8,120,256,-120
89,False,True,0,0,0,-120
90,False,False,1,15,-15,-135
91,False,False,1,15,-15,-150
92,False,False,2,30,-30,-180
93,False,False,3,45,-45,-225
94,False,False,5,75,-75,-300
95,False,False,8,120,-120,-420
96,False,False,8,120,-120,-540
97,True,False,8,120,256,-284
98,True,True,0,0,0,-284
99,False,False,1,15,-15,-299
100,False,False,1,15,-15,-314
101,False,False,2,30,-30,-344
102,False,False,3,45,-45,-389
103,True,False,5,75,160,-229
104,False,True,0,0,0,-229
105,True,False,1,15,32,-197
106,True,True,0,0,0,-197
107,False,False,1,15,-15,-212
108,True,False,1,15,32,-180
109,False,True,0,0,0,-180
110,True,False,1,15,32,-148
111,False,True,0,0,0,-148
112,True,False,1,15,32,-116
113,False,True,0,0,0,-116
114,False,False,1,15,-15,-131
115,False,False,1,15,-15,-146
116,True,False,2,30,64,-82
117,False,True,0,0,0,-82
118,False,False,1,15,-15,-97
119,False,False,1,15,-15,-112
120,False,False,2,30,-30,-142
121,False,False,3,45,-45,-187
122,False,False,5,75,-75,-262
123,False,False,8,120,-120,-382
124,True,False,8,120,256,-126
125,False,True,0,0,0,-126
126,False,False,1,15,-15,-141
127,False,False,1,15,-15,-156
128,True,False,2,30,64,-92
129,False,True,0,0,0,-92
130,False,False,1,15,-15,-107
131,False,False,1,15,-15,-122
132,False,False,2,30,-30,-152
133,False,False,3,45,-45,-197
134,False,False,5,75,-75,-272
135,False,False,8,120,-120,-392
136,False,False,8,120,-120,-512
137,False,False,8,120,-120,-632
138,True,False,8,120,256,-376
139,False,True,0,0,0,-376
140,True,False,1,15,32,-344
141,True,True,0,0,0,-344
142,False,False,1,15,-15,-359
143,False,False,1,15,-15,-374
144,False,False,2,30,-30,-404
145,True,False,3,45,96,-308
146,False,True,0,0,0,-308
147,True,False,1,15,32,-276
148,True,True,0,0,0,-276
149,True,False,1,15,32,-244
150,True,True,0,0,0,-244
151,False,False,1,15,-15,-259
152,False,False,1,15,-15,-274
153,True,False,2,30,64,-210
154,False,True,0,0,0,-210
155,False,False,1,15,-15,-225
156,True,False,1,15,32,-193
157,False,True,0,0,0,-193
158,True,False,1,15,32,-161
159,False,True,0,0,0,-161
160,True,False,1,15,32,-129
161,False,True,0,0,0,-129
162,False,False,1,15,-15,-144
163,False,False,1,15,-15,-159
164,True,False,2,30,64,-95
165,False,True,0,0,0,-95
166,False,False,1,15,-15,-110
167,False,False,1,15,-15,-125
168,True,False,2,30,64,-61
169,True,True,0,0,0,-61
170,False,False,1,15,-15,-76
171,False,False,1,15,-15,-91
172,True,False,2,30,64,-27
173,False,True,0,0,0,-27
174,False,False,1,15,-15,-42
175,False,False,1,15,-15,-57
176,False,False,2,30,-30,-87
177,False,False,3,45,-45,-132
178,False,False,5,75,-75,-207
179,True,False,8,120,256,49
180,False,True,0,0,0,49
181,True,False,1,15,32,81
182,False,True,0,0,0,81
183,False,False,1,15,-15,66
184,True,False,1,15,32,98
185,True,True,0,0,0,98
186,False,False,1,15,-15,83
187,False,False,1,15,-15,68
188,True,False,2,30,64,132
189,False,True,0,0,0,132
190,False,False,1,15,-15,117
191,False,False,1,15,-15,102
192,True,False,2,30,64,166
193,False,True,0,0,0,166
194,False,False,1,15,-15,151
195,True,False,1,15,32,183
196,False,True,0,0,0,183
197,False,False,1,15,-15,168
198,False,False,1,15,-15,153
199,False,False,2,30,-30,123
200,True,False,3,45,96,219
201,False,True,0,0,0,219
202,False,False,1,15,-15,204
203,True,False,1,15,32,236
204,True,True,0,0,0,236
205,False,False,1,15,-15,221
206,False,False,1,15,-15,206
207,True,False,2,30,64,270
208,True,True,0,0,0,270
209,True,False,1,15,32,302
210,False,True,0,0,0,302
211,False,False,1,15,-15,287
212,False,False,1,15,-15,272
213,True,False,2,30,64,336
214,False,True,0,0,0,336
215,False,False,1,15,-15,321
216,False,False,1,15,-15,306
217,False,False,2,30,-30,276
218,True,False,3,45,96,372
219,True,True,0,0,0,372
220,False,False,1,15,-15,357
221,False,False,1,15,-15,342
222,True,False,2,30,64,406
223,True,True,0,0,0,406
224,True,False,1,15,32,438
225,False,True,0,0,0,438
226,False,False,1,15,-15,423
227,False,False,1,15,-15,408
228,False,False,2,30,-30,378
229,False,False,3,45,-45,333
230,True,False,5,75,160,493
231,False,True,0,0,0,493
232,False,False,1,15,-15,478
233,False,False,1,15,-15,463
234,True,False,2,30,64,527
235,False,True,0,0,0,527
236,False,False,1,15,-15,512
237,False,False,1,15,-15,497
238,True,False,2,30,64,561
239,False,True,0,0,0,561
240,False,False,1,15,-15,546
241,False,False,1,15,-15,531
242,False,False,2,30,-30,501
243,True,False,3,45,96,597
244,False,True,0,0,0,597
245,True,False,1,15,32,629
246,True,True,0,0,0,629
247,False,False,1,15,-15,614
248,False,False,1,15,-15,599
249,False,False,2,30,-30,569
250,False,False,3,45,-45,524
251,False,False,5,75,-75,449
252,True,False,8,120,256,705
253,False,True,0,0,0,705
254,False,False,1,15,-15,690
255,False,False,1,15,-15,675
256,True,False,2,30,64,739
257,False,True,0,0,0,739
258,False,False,1,15,-15,724
259,False,False,1,15,-15,709
260,False,False,2,30,-30,679
261,True,False,3,45,96,775
262,True,True,0,0,0,775
263,False,False,1,15,-15,760
264,True,False,1,15,32,792
265,False,True,0,0,0,792
266,False,False,1,15,-15,777
267,True,False,1,15,32,809
268,True,True,0,0,0,809
269,False,False,1,15,-15,794
270,True,False,1,15,32,826
271,True,True,0,0,0,826
272,True,False,1,15,32,858
273,False,True,0,0,0,858
274,False,False,1,15,-15,843
275,False,False,1,15,-15,828
276,True,False,2,30,64,892
277,True,True,0,0,0,892
278,True,False,1,15,32,924
279,True,True,0,0,0,924
280,False,False,1,15,-15,909
281,True,False,1,15,32,941
282,False,True,0,0,0,941
283,True,False,1,15,32,973
284,False,True,0,0,0,973
285,False,False,1,15,-15,958
286,False,False,1,15,-15,943
287,False,False,2,30,-30,913
288,False,False,3,45,-45,868
289,True,False,5,75,160,1028
290,False,True,0,0,0,1028
291,False,False,1,15,-15,1013
292,False,False,1,15,-15,998
293,False,False,2,30,-30,968
294,True,False,3,45,96,1064
295,True,True,0,0,0,1064
296,False,False,1,15,-15,1049
297,False,False,1,15,-15,1034
298,False,False,2,30,-30,1004
299,False,False,3,45,-45,959
300,True,False,5,75,160,1119
