period,hit,paused,multiplier,bet,profit,balance
1,True,False,1,15,32,32
2,True,True,0,0,0,32
3,False,False,1,15,-15,17
4,False,False,1,15,-15,2
5,False,False,2,30,-30,-28
6,False,False,3,45,-45,-73
7,False,False,5,75,-75,-148
8,False,False,8,120,-120,-268
9,False,False,8,120,-120,-388
10,True,False,8,120,256,-132
11,False,True,0,0,0,-132
12,True,False,1,15,32,-100
13,False,True,0,0,0,-100
14,False,False,1,15,-15,-115
15,True,False,1,15,32,-83
16,False,True,0,0,0,-83
17,True,False,1,15,32,-51
18,True,True,0,0,0,-51
19,True,False,1,15,32,-19
20,False,True,0,0,0,-19
21,True,False,1,15,32,13
22,False,True,0,0,0,13
23,False,False,1,15,-15,-2
24,False,False,1,15,-15,-17
25,False,False,2,30,-30,-47
26,True,False,3,45,96,49
27,False,True,0,0,0,49
28,False,False,1,15,-15,34
29,True,False,1,15,32,66
30,False,True,0,0,0,66
31,False,False,1,15,-15,51
32,True,False,1,15,32,83
33,True,True,0,0,0,83
34,False,False,1,15,-15,68
35,True,False,1,15,32,100
36,False,True,0,0,0,100
37,True,False,1,15,32,132
38,False,True,0,0,0,132
39,False,False,1,15,-15,117
40,True,False,1,15,32,149
41,False,True,0,0,0,149
42,False,False,1,15,-15,134
43,False,False,1,15,-15,119
44,False,False,2,30,-30,89
45,False,False,3,45,-45,44
46,False,False,5,75,-75,-31
47,False,False,8,120,-120,-151
48,False,False,8,120,-120,-271
49,False,False,8,120,-120,-391
50,True,False,8,120,256,-135
51,False,True,0,0,0,-135
52,True,False,1,15,32,-103
53,False,True,0,0,0,-103
54,True,False,1,15,32,-71
55,False,True,0,0,0,-71
56,False,False,1,15,-15,-86
57,False,False,1,15,-15,-101
58,False,False,2,30,-30,-131
59,False,False,3,45,-45,-176
60,True,False,5,75,160,-16
61,False,True,0,0,0,-16
62,True,False,1,15,32,16
63,False,True,0,0,0,16
64,False,False,1,15,-15,1
65,False,False,1,15,-15,-14
66,False,False,2,30,-30,-44
67,False,False,3,45,-45,-89
68,False,False,5,75,-75,-164
69,False,False,8,120,-120,-284
70,False,False,8,120,-120,-404
71,False,False,8,120,-120,-524
72,True,False,8,120,256,-268
