period,actual,predicted,hit,paused,bet_amount,reward,profit,consecutive_misses,pause_remaining
1,8,"[10, 15, 18, 2, 24, 29, 34, 30, 21, 47, 11, 13, 1, 20, 25]",False,False,15,0,-15,1,0
2,43,"[15, 18, 10, 2, 24, 21, 34, 30, 11, 47, 13, 20, 1, 25, 29]",False,False,15,0,-15,2,0
3,25,"[2, 10, 1, 3, 4, 47, 18, 15, 5, 6, 46, 7, 24, 21, np.int64(13)]",False,False,30,0,-30,3,0
4,16,"[2, 10, 1, 3, 4, 47, 18, 15, 9, 5, 46, 6, 23, 7, 24]",False,False,45,0,-45,4,0
5,32,"[9, 2, 10, 1, 3, 47, 18, 15, 4, 5, 23, 46, 6, 7, 21]",False,False,75,0,-75,5,0
6,31,"[9, 2, 10, 1, 3, 47, 18, 15, 4, 5, 46, 6, 23, 7, 8]",False,False,120,0,-120,6,0
7,40,"[9, 8, 10, 1, 2, 18, 15, 47, 3, 4, 5, 6, 23, 46, 7]",False,False,195,0,-195,7,0
8,15,"[9, 8, 10, 1, 2, 15, 18, 3, 47, 43, 4, 23, 5, 24, 6]",True,False,315,987,672,0,0
9,2,"[9, 8, 10, 1, 2, 47, 3, 4, 23, 5, 18, 21, 24, 43, 6]",True,False,15,47,32,0,0
10,39,"[9, 8, 1, 10, 3, 47, 4, 23, 5, 43, 18, 21, 46, 6, 24]",False,False,15,0,-15,1,0
11,38,"[9, 8, 18, 23, 16, 24, 21, 25, 13, 11, 32, 22, 30, np.int64(15), 3]",False,False,15,0,-15,2,0
12,42,"[9, 8, 23, 18, 16, 24, 21, 25, 13, 11, 20, 31, 32, 30, 22]",False,False,30,0,-30,3,0
13,37,"[9, 8, 18, 23, 16, 21, 25, 13, np.int64(15), 11, 24, 31, 32, 30, 22]",False,False,45,0,-45,4,0
14,13,"[15, 8, 9, 23, 16, 21, np.int64(2), 25, 18, 13, 11, 24, 31, 32, 30]",True,False,75,235,160,0,0
15,42,"[2, 15, 8, 23, 16, 18, 21, 9, 25, 11, 31, 24, 32, 1, 22]",False,False,15,0,-15,1,0
16,39,"[2, 15, 8, 23, 16, 18, 21, 9, 25, 11, 24, 31, 32, 1, 3]",False,False,15,0,-15,2,0
17,2,"[15, 2, 23, 16, 18, 8, 21, 9, 25, 11, 24, 31, 32, 1, 22]",True,False,30,94,64,0,0
18,46,"[15, 23, 16, 8, 21, 9, 25, 1, 11, 18, 31, 32, 22, 24, 17]",False,False,15,0,-15,1,0
19,4,"[8, 1, 9, 3, 4, 15, 43, 23, 5, 6, 21, 7, 40, 10, 25]",True,False,15,47,32,0,0
20,28,"[8, 9, 1, 3, 5, 43, 23, 15, 6, 21, 7, 10, 40, 25, 46]",False,False,15,0,-15,1,0
21,1,"[8, 9, 1, 3, 5, 43, 42, 15, 23, 6, 7, 25, 40, 10, 32]",True,False,15,47,32,0,0
22,34,"[8, 9, 3, 5, 6, 43, 42, 2, 15, 23, 7, 10, 25, 40, 46]",False,False,15,0,-15,1,0
23,8,"[2, 8, 9, 3, 5, 43, 42, 15, 23, 6, 40, 11, 7, 25, 10]",True,False,15,47,32,0,0
24,24,"[2, 9, 3, 5, 6, 43, 42, 13, 40, 46, 25, 15, 7, 10, 8]",False,False,15,0,-15,1,0
25,44,"[2, 4, 3, 5, 43, 42, 9, 13, 46, 25, 40, 6, 15, 7, 10]",False,False,15,0,-15,2,0
26,6,"[2, 4, 3, 5, 43, 42, 9, 13, 46, 25, 40, 6, 15, 7, 1]",True,False,30,94,64,0,0
27,25,"[2, 1, 4, 3, 43, 42, 13, 46, 9, 25, 40, 5, 15, 7, 31]",True,False,15,47,32,0,0
28,12,"[2, 1, 4, 3, 42, 13, 9, 40, 46, 5, 15, 31, 7, 39, 10]",False,False,15,0,-15,1,0
29,35,"[2, 1, 8, 4, 9, 42, 13, 40, 15, 3, 46, 31, 5, 7, 39]",False,False,15,0,-15,2,0
30,23,"[2, 15, 8, 1, 31, 32, 24, 28, 16, 39, 13, 42, np.int64(4), 11, 34]",False,False,30,0,-30,3,0
31,33,"[2, 15, 8, 1, 31, 24, 28, 39, 16, 42, 13, np.int64(4), 34, 11, 32]",False,False,45,0,-45,4,0
32,17,"[2, 15, 1, 4, 24, 28, 39, 16, 42, 13, 34, 11, 31, 21, 32]",False,False,75,0,-75,5,0
33,42,"[15, 2, 1, 4, 25, 24, 28, 39, 16, 42, 13, 34, 11, np.int64(8), 31]",True,False,120,376,256,0,0
34,48,"[2, 1, 4, 24, 16, 28, 39, 15, 25, 13, 12, 34, np.int64(8), np.int64(6), 31]",False,False,15,0,-15,1,0
35,28,"[1, 2, 24, 28, 39, 25, 15, 13, 12, 4, 34, 11, np.int64(8), np.int64(6), 31]",True,False,15,47,32,0,0
36,38,"[1, 2, 24, 23, 15, 25, 39, 13, 12, 34, 4, 11, np.int64(8), np.int64(6), 31]",False,False,15,0,-15,1,0
37,47,"[2, 24, 23, 39, 15, 25, 12, 13, 34, 4, 1, 11, np.int64(8), np.int64(6), 33]",False,False,15,0,-15,2,0
38,3,"[2, 15, 17, 24, 23, 39, 12, 13, 25, 4, 1, 34, np.int64(8), np.int64(6), 33]",False,False,30,0,-30,3,0
39,33,"[2, 17, 24, 23, 25, 12, 42, 39, 13, 34, 1, 4, 11, np.int64(6), 33]",True,False,45,141,96,0,0
40,44,"[17, 24, 23, 39, 25, 42, 2, 12, 34, 4, 1, 11, np.int64(6), 35, 15]",False,False,15,0,-15,1,0
41,38,"[6, 2, 1, 4, 8, 46, 12, 28, 5, 42, 7, 9, 10, 34, 24]",False,False,15,0,-15,2,0
42,43,"[2, 1, 4, 6, 8, 46, 12, 28, 5, 42, 7, 9, 10, 34, 24]",False,False,30,0,-30,3,0
43,10,"[1, 4, 6, 8, 46, 2, 12, 28, 42, 5, 7, 9, 34, 10, 24]",True,False,45,141,96,0,0
44,41,"[1, 3, 4, 6, 2, 28, 42, 8, 5, 13, 7, 34, 12, 9, 24]",False,False,15,0,-15,1,0
45,29,"[1, 3, 6, 2, 28, 42, 4, 17, 8, 5, 7, 12, 24, 34, 9]",False,False,15,0,-15,2,0
