lookback,good_thresh,bad_thresh,boost_mult,reduce_mult,hits,hit_rate,total_bet,total_win,balance,roi,max_drawdown,hit_10x_count,roi_improve,drawdown_reduce,score
8,0.35,0.2,1.5,0.6,99,33.0,11493.0,14264.5,2771.5,24.114678499956497,268.0,5,9.014678499956498,507.0,125.11921245431563
8,0.35,0.15,1.5,0.6,99,33.0,11493.0,14264.5,2771.5,24.114678499956497,268.0,5,9.014678499956498,507.0,125.11921245431563
8,0.3,0.2,1.5,0.6,99,33.0,11493.0,14264.5,2771.5,24.114678499956497,268.0,5,9.014678499956498,507.0,125.11921245431563
8,0.3,0.15,1.5,0.6,99,33.0,11493.0,14264.5,2771.5,24.114678499956497,268.0,5,9.014678499956498,507.0,125.11921245431563
12,0.4,0.25,1.5,0.6,99,33.0,10500.0,12934.4,2434.3999999999996,23.184761904761903,261.5,6,8.084761904761903,513.5,119.79953408408866
12,0.35,0.25,1.5,0.6,99,33.0,10500.0,12934.4,2434.3999999999996,23.184761904761903,261.5,6,8.084761904761903,513.5,119.79953408408866
8,0.3,0.15,1.3,0.6,99,33.0,10845.0,13315.100000000011,2470.0999999999985,22.77639465191331,278.9,5,7.676394651913311,496.1,114.84995390072905
8,0.35,0.15,1.3,0.6,99,33.0,10845.0,13315.100000000011,2470.0999999999985,22.77639465191331,278.9,5,7.676394651913311,496.1,114.84995390072905
8,0.35,0.2,1.3,0.6,99,33.0,10845.0,13315.100000000011,2470.0999999999985,22.77639465191331,278.9,5,7.676394651913311,496.1,114.84995390072905
8,0.3,0.2,1.3,0.6,99,33.0,10845.0,13315.100000000011,2470.0999999999985,22.77639465191331,278.9,5,7.676394651913311,496.1,114.84995390072905
8,0.4,0.15,1.5,0.6,99,33.0,10473.0,12901.5,2428.5,23.188198224004584,312.0,3,8.088198224004584,463.0,113.30616213290796
8,0.45,0.15,1.5,0.6,99,33.0,10473.0,12901.5,2428.5,23.188198224004584,312.0,3,8.088198224004584,463.0,113.30616213290796
8,0.45,0.2,1.5,0.6,99,33.0,10473.0,12901.5,2428.5,23.188198224004584,312.0,3,8.088198224004584,463.0,113.30616213290796
8,0.4,0.2,1.5,0.6,99,33.0,10473.0,12901.5,2428.5,23.188198224004584,312.0,3,8.088198224004584,463.0,113.30616213290796
12,0.45,0.25,1.5,0.6,99,33.0,9885.0,12064.9,2179.8999999999996,22.052604957005563,254.0,4,6.952604957005564,521.0,113.26954788873584
8,0.3,0.2,1.2,0.6,99,33.0,10509.0,12802.79999999999,2293.800000000001,21.827005423922362,299.6,3,6.727005423922362,475.4,105.89164027805879
8,0.35,0.15,1.2,0.6,99,33.0,10509.0,12802.79999999999,2293.800000000001,21.827005423922362,299.6,3,6.727005423922362,475.4,105.89164027805879
8,0.35,0.2,1.2,0.6,99,33.0,10509.0,12802.79999999999,2293.800000000001,21.827005423922362,299.6,3,6.727005423922362,475.4,105.89164027805879
8,0.3,0.15,1.2,0.6,99,33.0,10509.0,12802.79999999999,2293.800000000001,21.827005423922362,299.6,3,6.727005423922362,475.4,105.89164027805879
12,0.3,0.25,1.5,0.6,99,33.0,11377.5,14015.400000000001,2637.8999999999996,23.185234014502303,374.0,9,8.085234014502303,401.0,105.28653160640278
10,0.35,0.25,1.5,0.6,99,33.0,10974.0,13446.7,2472.7,22.532349188992164,342.0,6,7.4323491889921645,433.0,105.09182329817499
10,0.35,0.2,1.5,0.6,99,33.0,10974.0,13446.7,2472.7,22.532349188992164,342.0,6,7.4323491889921645,433.0,105.09182329817499
10,0.4,0.2,1.5,0.6,99,33.0,10974.0,13446.7,2472.7,22.532349188992164,342.0,6,7.4323491889921645,433.0,105.09182329817499
10,0.4,0.25,1.5,0.6,99,33.0,10974.0,13446.7,2472.7,22.532349188992164,342.0,6,7.4323491889921645,433.0,105.09182329817499
12,0.4,0.25,1.3,0.6,99,33.0,10074.0,12276.400000000007,2202.399999999999,21.862219575143925,312.4,6,6.762219575143925,462.6,104.47323367431355
12,0.35,0.25,1.3,0.6,99,33.0,10074.0,12276.400000000007,2202.399999999999,21.862219575143925,312.4,6,6.762219575143925,462.6,104.47323367431355
8,0.35,0.2,1.5,0.7,99,33.0,11953.5,14546.5,2593.0,21.69239134981386,310.0,5,6.592391349813861,465.0,103.65822085969444
8,0.35,0.15,1.5,0.7,99,33.0,11953.5,14546.5,2593.0,21.69239134981386,310.0,5,6.592391349813861,465.0,103.65822085969444
8,0.3,0.2,1.5,0.7,99,33.0,11953.5,14546.5,2593.0,21.69239134981386,310.0,5,6.592391349813861,465.0,103.65822085969444
8,0.3,0.15,1.5,0.7,99,33.0,11953.5,14546.5,2593.0,21.69239134981386,310.0,5,6.592391349813861,465.0,103.65822085969444
12,0.3,0.25,1.3,0.6,99,33.0,10636.5,13000.200000000012,2363.699999999999,22.22253560851783,344.4,9,7.122535608517831,430.6,102.73040031276496
