策略名称,ROI,最大回撤,净利润,总投入,命中率,特点,风险收益比,参数,ROI变化,回撤变化,利润变化,风险收益比变化
当前方案（精准TOP15+Fibonacci）,36.48,768,3015,8265,34.5,PreciseTop15预测器+原始Fibonacci倍投,0.0474,,,,,
智能止损暂停,22.8,615,1440,6315,34.5,暂停投注降低风险但错过盈利机会,0.0371,连续失败7期后暂停2期,-13.68,-153.0,-1575.0,-21.73
降档倍投,24.06,541,1595,6630,34.5,降低倍投减少风险但收益受限,0.0445,失败7期后降至Fib[2]档持续2期,-12.42,-227.0,-1420.0,-6.12
智能动态倍投,35.39,639,2831,7998,34.5,动态调整最均衡，风险收益比提升91%,0.0554,回看12期，>0.35增强1.2倍，<0.20降低0.8倍,-1.09,-129.0,-184.0,16.88
纯增强倍投,36.39,762,2831,7779,34.5,最接近基准，略微优化风险控制,0.0477,回看12期，命中率>0.38时增强1.10倍,-0.09,-6.0,-184.0,0.63
