period,date,actual,predictions,predictions_str,hit,multiplier,bet,profit,cumulative_profit,recent_rate,fib_index,result,paused,pause_remaining
23,2025/5/26,14,"[14, 11, 9, 2, 36, 23, 24, 41, 33, 28, 37, 47, 49, 1, 15]","[14, 11, 9, 2, 36]...",True,1.0,15.0,32.0,-16.5,0.3333333333333333,1,WIN,False,1
24,2025/5/27,32,"[11, 13, 2, 36, 9, 23, 41, 24, 33, 28, 37, 47, 49, 1, 15]","[11, 13, 2, 36, 9]...",False,0.0,0.0,0.0,-16.5,0.3333333333333333,0,SKIP,True,0
25,2025/5/28,2,"[11, 13, 44, 2, 9, 23, 36, 41, 24, 28, 37, 33, 49, 1, 15]","[11, 13, 44, 2, 9]...",True,1.0,15.0,32.0,15.5,0.3333333333333333,0,WIN,False,1
26,2025/5/29,41,"[10, 11, 13, 9, 23, 44, 24, 36, 28, 37, 49, 33, 41, 1, 40]","[10, 11, 13, 9, 23]...",True,0.0,0.0,0.0,15.5,0.3333333333333333,0,SKIP,True,0
27,2025/5/30,40,"[25, 10, 13, 11, 9, 23, 44, 24, 36, 28, 37, 49, 33, 40, 1]","[25, 10, 13, 11, 9]...",True,1.0,15.0,32.0,47.5,0.4166666666666667,0,WIN,False,1
28,2025/5/31,38,"[10, 9, 44, 1, 3, 49, 47, 4, 13, 25, 45, 11, 6, 23, 42]","[10, 9, 44, 1, 3]...",False,0.0,0.0,0.0,47.5,0.4166666666666667,0,SKIP,True,0
29,2025/6/1,10,"[10, 9, 44, 14, 3, 49, 1, 47, 4, 45, 25, 13, 6, 23, 21]","[10, 9, 44, 14, 3]...",True,1.5,22.5,48.0,95.5,0.5,0,WIN,False,1
30,2025/6/2,43,"[9, 44, 3, 14, 1, 49, 47, 4, 45, 5, 32, 13, 25, 10, 6]","[9, 44, 3, 14, 1]...",False,0.0,0.0,0.0,95.5,0.5,0,SKIP,True,0
31,2025/6/3,26,"[2, 9, 3, 44, 1, 14, 47, 49, 4, 32, 13, 25, 6, 23, 7]","[2, 9, 3, 44, 1]...",False,1.5,22.5,-22.5,73.0,0.5,0,LOSS,False,0
32,2025/6/4,45,"[2, 9, 41, 3, 44, 1, 14, 4, 47, 49, 13, 32, 25, 23, 17]","[2, 9, 41, 3, 44]...",False,1.5,22.5,-22.5,50.5,0.5,1,LOSS,False,0
33,2025/6/5,18,"[2, 9, 40, 41, 3, 44, 1, 14, 47, 4, 13, 49, 32, 25, 7]","[2, 9, 40, 41, 3]...",False,3.0,45.0,-45.0,5.5,0.5,2,LOSS,False,0
34,2025/6/6,23,"[2, 9, 40, 41, 3, 44, 1, 14, 4, 47, 32, 49, 25, 13, 42]","[2, 9, 40, 41, 3]...",False,4.5,67.5,-67.5,-62.0,0.5,3,LOSS,False,0
35,2025/6/7,5,"[10, 2, 9, 40, 41, 3, 1, 14, 44, 47, 25, 8, 5, 13, 22]","[10, 2, 9, 40, 41]...",True,7.5,112.5,240.0,178.0,0.5833333333333334,4,WIN,False,1
36,2025/6/8,31,"[10, 2, 43, 40, 9, 41, 3, 1, 14, 44, 47, 25, 11, 32, 8]","[10, 2, 43, 40, 9]...",False,0.0,0.0,0.0,178.0,0.5833333333333334,0,SKIP,True,0
37,2025/6/9,11,"[10, 2, 43, 9, 41, 40, 26, 3, 1, 14, 44, 47, 32, 11, 25]","[10, 2, 43, 9, 41]...",True,1.5,22.5,48.0,226.0,0.5833333333333334,0,WIN,False,1
38,2025/6/10,16,"[26, 10, 14, 2, 17, 38, 43, 9, 25, 32, 13, 45, 41, 36, 40]","[26, 10, 14, 2, 17]...",False,0.0,0.0,0.0,226.0,0.5833333333333334,0,SKIP,True,0
39,2025/6/11,1,"[18, 10, 26, 2, 14, 17, 43, 25, 32, 13, 9, 45, 41, 38, 36]","[18, 10, 26, 2, 14]...",False,1.5,22.5,-22.5,203.5,0.5,0,LOSS,False,0
40,2025/6/12,23,"[18, 10, 26, 23, 14, 2, 17, 25, 43, 13, 9, 45, 32, 41, 38]","[18, 10, 26, 23, 14]...",True,1.5,22.5,48.0,251.5,0.5833333333333334,1,WIN,False,1
41,2025/6/13,13,"[5, 18, 26, 10, 14, 17, 2, 25, 13, 45, 32, 41, 38, 40, 43]","[5, 18, 26, 10, 14]...",True,0.0,0.0,0.0,251.5,0.5833333333333334,0,SKIP,True,0
42,2025/6/14,47,"[5, 18, 31, 10, 17, 26, 25, 14, 2, 45, 32, 41, 38, 40, 43]","[5, 18, 31, 10, 17]...",False,1.5,22.5,-22.5,229.0,0.5,0,LOSS,False,0
43,2025/6/15,41,"[5, 18, 11, 31, 10, 17, 26, 25, 2, 14, 32, 38, 41, 43, 36]","[5, 18, 11, 31, 10]...",True,1.5,22.5,48.0,277.0,0.5,1,WIN,False,1
44,2025/6/16,9,"[16, 5, 11, 31, 10, 17, 26, 2, 25, 14, 18, 32, 43, 38, 36]","[16, 5, 11, 31, 10]...",False,0.0,0.0,0.0,277.0,0.5,0,SKIP,True,0
45,2025/6/17,16,"[1, 5, 10, 2, 43, 45, 3, 11, 40, 44, 16, 31, 26, 14, 46]","[1, 5, 10, 2, 43]...",True,1.5,22.5,48.0,325.0,0.5,0,WIN,False,1
46,2025/6/18,7,"[1, 11, 23, 18, 31, 17, 10, 26, 2, 25, 14, 32, 5, 38, 40]","[1, 11, 23, 18, 31]...",False,0.0,0.0,0.0,325.0,0.5,0,SKIP,True,0
47,2025/6/19,33,"[1, 10, 5, 2, 11, 45, 43, 3, 13, 23, 40, 44, 31, 42, 48]","[1, 10, 5, 2, 11]...",False,1.5,22.5,-22.5,302.5,0.4166666666666667,0,LOSS,False,0
48,2025/6/20,47,"[1, 10, 5, 2, 47, 43, 13, 3, 23, 45, 40, 44, 11, 31, 26]","[1, 10, 5, 2, 47]...",True,1.5,22.5,48.0,350.5,0.5,1,WIN,False,1
49,2025/6/21,36,"[1, 10, 5, 2, 41, 43, 3, 23, 40, 45, 11, 13, 44, 31, 26]","[1, 10, 5, 2, 41]...",False,0.0,0.0,0.0,350.5,0.5,0,SKIP,True,0
50,2025/6/22,38,"[1, 9, 10, 5, 2, 41, 43, 45, 23, 40, 11, 13, 31, 42, 26]","[1, 9, 10, 5, 2]...",False,1.5,22.5,-22.5,328.0,0.5,0,LOSS,False,0
51,2025/6/23,39,"[1, 9, 5, 2, 41, 10, 16, 43, 45, 40, 11, 23, 31, 6, 42]","[1, 9, 5, 2, 41]...",False,1.5,22.5,-22.5,305.5,0.5,1,LOSS,False,0
52,2025/6/24,30,"[7, 1, 9, 5, 41, 2, 16, 43, 10, 45, 40, 11, 23, 26, 21]","[7, 1, 9, 5, 41]...",False,3.0,45.0,-45.0,260.5,0.5,2,LOSS,False,0
53,2025/6/25,36,"[16, 33, 1, 23, 7, 41, 5, 26, 2, 9, 13, 11, 31, 18, 32]","[16, 33, 1, 23, 7]...",False,4.5,67.5,-67.5,193.0,0.4166666666666667,3,LOSS,False,0
54,2025/6/26,4,"[16, 33, 23, 1, 7, 18, 47, 5, 26, 9, 13, 2, 11, 31, 41]","[16, 33, 23, 1, 7]...",False,7.5,112.5,-112.5,80.5,0.3333333333333333,4,LOSS,False,0
55,2025/6/27,27,"[16, 33, 23, 1, 18, 47, 7, 5, 26, 2, 13, 11, 31, 41, 9]","[16, 33, 23, 1, 18]...",False,8.0,120.0,-120.0,-39.5,0.3333333333333333,5,LOSS,False,0
56,2025/6/28,24,"[7, 16, 33, 38, 1, 23, 18, 47, 5, 26, 13, 11, 41, 31, 9]","[7, 16, 33, 38, 1]...",False,10.0,150.0,-150.0,-189.5,0.25,6,LOSS,False,0
57,2025/6/29,29,"[16, 39, 33, 7, 38, 1, 5, 47, 23, 18, 11, 26, 13, 31, 9]","[16, 39, 33, 7, 38]...",False,10.0,150.0,-150.0,-339.5,0.25,7,LOSS,False,0
58,2025/6/30,23,"[30, 16, 38, 7, 1, 39, 47, 23, 18, 5, 33, 26, 11, 31, 13]","[30, 16, 38, 7, 1]...",True,10.0,150.0,320.0,-19.5,0.25,8,WIN,False,1
59,2025/7/1,42,"[30, 16, 36, 7, 1, 5, 38, 39, 18, 33, 26, 31, 47, 11, 13]","[30, 16, 36, 7, 1]...",False,0.0,0.0,0.0,-19.5,0.25,0,SKIP,True,0
60,2025/7/2,33,"[4, 30, 16, 36, 1, 38, 5, 18, 39, 33, 26, 11, 47, 31, 13]","[4, 30, 16, 36, 1]...",True,1.0,15.0,32.0,12.5,0.25,0,WIN,False,1
61,2025/7/3,28,"[4, 27, 30, 16, 36, 1, 39, 18, 5, 11, 26, 47, 13, 31, 7]","[4, 27, 30, 16, 36]...",False,0.0,0.0,0.0,12.5,0.25,0,SKIP,True,0
62,2025/7/4,5,"[24, 27, 4, 30, 36, 16, 1, 5, 18, 11, 47, 13, 31, 38, 39]","[24, 27, 4, 30, 36]...",True,1.0,15.0,32.0,44.5,0.3333333333333333,0,WIN,False,1
63,2025/7/5,8,"[24, 29, 27, 4, 16, 36, 1, 30, 7, 18, 13, 11, 47, 38, 31]","[24, 29, 27, 4, 16]...",False,0.0,0.0,0.0,44.5,0.3333333333333333,0,SKIP,True,0
64,2025/7/6,45,"[24, 4, 23, 29, 27, 16, 1, 30, 7, 36, 13, 11, 31, 47, 38]","[24, 4, 23, 29, 27]...",False,1.0,15.0,-15.0,29.5,0.25,0,LOSS,False,0
65,2025/7/7,15,"[24, 23, 29, 27, 4, 16, 30, 1, 7, 36, 42, 13, 11, 31, 47]","[24, 23, 29, 27, 4]...",False,1.0,15.0,-15.0,14.5,0.25,1,LOSS,False,0
66,2025/7/8,17,"[23, 24, 29, 16, 4, 33, 27, 30, 7, 1, 42, 36, 13, 11, 12]","[23, 24, 29, 16, 4]...",False,2.0,30.0,-30.0,-15.5,0.25,2,LOSS,False,0
67,2025/7/9,18,"[28, 23, 29, 24, 16, 4, 33, 27, 30, 7, 1, 42, 36, 11, 47]","[28, 23, 29, 24, 16]...",False,3.0,45.0,-45.0,-60.5,0.25,3,LOSS,False,0
68,2025/7/10,29,"[28, 23, 5, 16, 24, 33, 4, 27, 29, 1, 42, 36, 30, 13, 47]","[28, 23, 5, 16, 24]...",True,5.0,75.0,160.0,99.5,0.3333333333333333,4,WIN,False,1
69,2025/7/11,45,"[5, 28, 23, 8, 33, 4, 16, 24, 27, 1, 42, 30, 36, 13, 47]","[5, 28, 23, 8, 33]...",False,0.0,0.0,0.0,99.5,0.3333333333333333,0,SKIP,True,0
70,2025/7/12,24,"[5, 23, 28, 8, 33, 16, 24, 4, 27, 7, 30, 36, 13, 47, 38]","[5, 23, 28, 8, 33]...",True,1.0,15.0,32.0,131.5,0.4166666666666667,0,WIN,False,1
71,2025/7/13,29,"[15, 5, 28, 23, 33, 4, 8, 27, 7, 16, 30, 36, 13, 47, 38]","[15, 5, 28, 23, 33]...",False,0.0,0.0,0.0,131.5,0.4166666666666667,0,SKIP,True,0
72,2025/7/14,25,"[15, 17, 5, 23, 33, 4, 28, 27, 8, 16, 30, 7, 36, 47, 38]","[15, 17, 5, 23, 33]...",False,1.5,22.5,-22.5,109.0,0.4166666666666667,0,LOSS,False,0
73,2025/7/15,14,"[17, 15, 18, 5, 23, 33, 4, 28, 27, 8, 16, 30, 7, 36, 38]","[17, 15, 18, 5, 23]...",False,1.5,22.5,-22.5,86.5,0.4166666666666667,1,LOSS,False,0
74,2025/7/16,34,"[15, 17, 18, 5, 4, 23, 33, 28, 27, 16, 30, 7, 36, 8, 38]","[15, 17, 18, 5, 4]...",False,3.0,45.0,-45.0,41.5,0.4166666666666667,2,LOSS,False,0
75,2025/7/17,43,"[15, 17, 18, 45, 5, 4, 23, 33, 28, 27, 16, 30, 7, 36, 8]","[15, 17, 18, 45, 5]...",False,4.5,67.5,-67.5,-26.0,0.3333333333333333,3,LOSS,False,0
76,2025/7/18,10,"[17, 24, 18, 15, 45, 5, 4, 23, 28, 27, 33, 30, 7, 36, 8]","[17, 24, 18, 15, 45]...",False,5.0,75.0,-75.0,-101.0,0.25,4,LOSS,False,0
77,2025/7/19,47,"[29, 18, 15, 24, 17, 5, 45, 8, 4, 23, 33, 27, 28, 30, 36]","[29, 18, 15, 24, 17]...",False,8.0,120.0,-120.0,-221.0,0.16666666666666666,5,LOSS,False,0
78,2025/7/20,47,"[25, 15, 29, 24, 17, 18, 8, 45, 4, 23, 5, 27, 28, 33, 36]","[25, 15, 29, 24, 17]...",False,5.0,75.0,-75.0,-296.0,0.16666666666666666,6,LOSS,False,0
79,2025/7/21,20,"[4, 5, 8, 45, 2, 1, 14, 42, 3, 6, 29, 9, 24, 15, 41]","[4, 5, 8, 45, 2]...",False,5.0,75.0,-75.0,-371.0,0.16666666666666666,7,LOSS,False,0
80,2025/7/22,18,"[14, 25, 29, 34, 15, 24, 17, 18, 23, 5, 8, 4, 27, 28, 33]","[14, 25, 29, 34, 15]...",True,5.0,75.0,160.0,-211.0,0.25,8,WIN,False,1
81,2025/7/25,30,"[14, 25, 29, 34, 24, 17, 43, 15, 23, 5, 8, 4, 28, 33, 27]","[14, 25, 29, 34, 24]...",False,0.0,0.0,0.0,-211.0,0.25,0,SKIP,True,0
82,2025/7/26,1,"[14, 29, 25, 10, 24, 34, 15, 17, 43, 5, 23, 8, 4, 28, 33]","[14, 29, 25, 10, 24]...",False,1.0,15.0,-15.0,-226.0,0.25,0,LOSS,False,0
83,2025/7/27,10,"[10, 5, 43, 8, 4, 45, 2, 42, 14, 29, 24, 3, 15, 44, 34]","[10, 5, 43, 8, 4]...",True,1.0,15.0,32.0,-194.0,0.25,1,WIN,False,1
84,2025/7/28,24,"[5, 4, 8, 43, 47, 45, 2, 3, 42, 14, 29, 24, 9, 6, 34]","[5, 4, 8, 43, 47]...",True,0.0,0.0,0.0,-194.0,0.25,0,SKIP,True,0
85,2025/7/29,9,"[5, 8, 47, 43, 45, 4, 2, 3, 14, 42, 20, 29, 25, 15, 9]","[5, 8, 47, 43, 45]...",True,1.0,15.0,32.0,-162.0,0.25,0,WIN,False,1
86,2025/7/30,13,"[5, 8, 47, 45, 4, 43, 2, 3, 18, 42, 14, 20, 29, 25, 7]","[5, 8, 47, 45, 4]...",False,0.0,0.0,0.0,-162.0,0.25,0,SKIP,True,0
87,2025/7/31,15,"[5, 8, 47, 45, 4, 43, 2, 3, 18, 42, 14, 25, 34, 7, 40]","[5, 8, 47, 45, 4]...",False,1.0,15.0,-15.0,-177.0,0.25,0,LOSS,False,0
88,2025/8/1,2,"[18, 1, 20, 30, 17, 29, 14, 47, 25, 8, 5, 23, 34, 28, 33]","[18, 1, 20, 30, 17]...",False,1.0,15.0,-15.0,-192.0,0.25,1,LOSS,False,0
89,2025/8/2,18,"[10, 18, 1, 20, 30, 17, 29, 25, 5, 14, 34, 28, 47, 33, 45]","[10, 18, 1, 20, 30]...",True,2.0,30.0,64.0,-128.0,0.3333333333333333,2,WIN,False,1
90,2025/8/3,11,"[10, 1, 24, 20, 30, 17, 29, 25, 14, 5, 28, 34, 47, 33, 45]","[10, 1, 24, 20, 30]...",False,0.0,0.0,0.0,-128.0,0.3333333333333333,0,SKIP,True,0
91,2025/8/4,15,"[10, 1, 24, 30, 20, 17, 29, 9, 25, 14, 5, 34, 28, 47, 12]","[10, 1, 24, 30, 20]...",False,1.0,15.0,-15.0,-143.0,0.3333333333333333,0,LOSS,False,0
92,2025/8/5,21,"[10, 13, 1, 24, 29, 20, 9, 25, 30, 17, 14, 5, 34, 47, 45]","[10, 13, 1, 24, 29]...",False,1.0,15.0,-15.0,-158.0,0.3333333333333333,1,LOSS,False,0
93,2025/8/6,23,"[13, 10, 24, 20, 1, 29, 9, 25, 30, 17, 14, 8, 34, 47, 45]","[13, 10, 24, 20, 1]...",False,2.0,30.0,-30.0,-188.0,0.3333333333333333,2,LOSS,False,0
94,2025/8/7,46,"[2, 13, 24, 10, 29, 20, 1, 9, 25, 30, 17, 14, 34, 45, 22]","[2, 13, 24, 10, 29]...",False,3.0,45.0,-45.0,-233.0,0.3333333333333333,3,LOSS,False,0
95,2025/8/8,23,"[18, 2, 13, 24, 10, 29, 1, 9, 25, 30, 17, 14, 34, 20, 47]","[18, 2, 13, 24, 10]...",False,5.0,75.0,-75.0,-308.0,0.3333333333333333,4,LOSS,False,0
96,2025/8/9,9,"[11, 18, 2, 24, 13, 10, 29, 1, 25, 30, 14, 34, 20, 9, 17]","[11, 18, 2, 24, 13]...",True,8.0,120.0,256.0,-52.0,0.3333333333333333,5,WIN,False,1
97,2025/8/10,8,"[11, 15, 18, 2, 24, 10, 1, 25, 13, 29, 30, 34, 20, 47, 14]","[11, 15, 18, 2, 24]...",False,0.0,0.0,0.0,-52.0,0.3333333333333333,0,SKIP,True,0
98,2025/8/11,8,"[21, 15, 18, 2, 11, 24, 10, 1, 13, 29, 30, 25, 34, 20, 47]","[21, 15, 18, 2, 11]...",False,1.0,15.0,-15.0,-67.0,0.3333333333333333,0,LOSS,False,0
99,2025/8/12,43,"[21, 15, 18, 11, 24, 10, 2, 1, 13, 30, 25, 20, 34, 29, 47]","[21, 15, 18, 11, 24]...",False,1.0,15.0,-15.0,-82.0,0.25,1,LOSS,False,0
100,2025/8/13,25,"[46, 10, 2, 1, 4, 47, 3, 15, 21, 41, 5, 18, 6, 24, 7]","[46, 10, 2, 1, 4]...",False,2.0,30.0,-30.0,-112.0,0.16666666666666666,2,LOSS,False,0
101,2025/8/14,16,"[2, 10, 1, 46, 4, 47, 3, 23, 15, 18, 5, 21, 41, 6, 40]","[2, 10, 1, 46, 4]...",False,1.5,22.5,-22.5,-134.5,0.16666666666666666,3,LOSS,False,0
102,2025/8/15,32,"[9, 2, 10, 1, 46, 47, 3, 23, 15, 18, 4, 21, 5, 41, 31]","[9, 2, 10, 1, 46]...",False,2.5,37.5,-37.5,-172.0,0.16666666666666666,4,LOSS,False,0
103,2025/8/16,31,"[9, 2, 10, 1, 46, 47, 3, 23, 15, 18, 4, 5, 21, 41, 6]","[9, 2, 10, 1, 46]...",False,4.0,60.0,-60.0,-232.0,0.08333333333333333,5,LOSS,False,0
104,2025/8/17,40,"[8, 9, 10, 1, 46, 2, 47, 23, 15, 18, 4, 21, 5, 3, 44]","[8, 9, 10, 1, 46]...",False,5.0,75.0,-75.0,-307.0,0.08333333333333333,6,LOSS,False,0
105,2025/8/18,15,"[8, 9, 43, 10, 1, 2, 46, 23, 47, 15, 21, 5, 18, 3, 4]","[8, 9, 43, 10, 1]...",True,5.0,75.0,160.0,-147.0,0.16666666666666666,7,WIN,False,1
106,2025/8/19,2,"[8, 9, 10, 43, 1, 2, 46, 47, 23, 11, 21, 18, 5, 3, 42]","[8, 9, 10, 43, 1]...",True,0.0,0.0,0.0,-147.0,0.16666666666666666,0,SKIP,True,0
107,2025/8/20,39,"[8, 9, 1, 43, 10, 46, 3, 47, 16, 23, 21, 5, 11, 18, 4]","[8, 9, 1, 43, 10]...",False,1.0,15.0,-15.0,-162.0,0.16666666666666666,0,LOSS,False,0
108,2025/8/21,38,"[16, 8, 32, 25, 23, 18, 9, 43, 21, 1, 11, 24, 13, 30, 20]","[16, 8, 32, 25, 23]...",False,1.0,15.0,-15.0,-177.0,0.16666666666666666,1,LOSS,False,0
109,2025/8/22,42,"[16, 31, 32, 8, 25, 23, 18, 9, 43, 21, 1, 24, 11, 13, 30]","[16, 31, 32, 8, 25]...",False,1.0,15.0,-15.0,-192.0,0.16666666666666666,2,LOSS,False,0
110,2025/8/23,37,"[16, 31, 8, 25, 32, 23, 18, 9, 40, 21, 1, 11, 13, 24, 30]","[16, 31, 8, 25, 32]...",False,1.5,22.5,-22.5,-214.5,0.08333333333333333,3,LOSS,False,0
111,2025/8/24,13,"[15, 16, 31, 8, 32, 9, 40, 23, 25, 21, 1, 11, 13, 24, 18]","[15, 16, 31, 8, 32]...",True,2.5,37.5,80.0,-134.5,0.16666666666666666,4,WIN,False,1
112,2025/8/25,42,"[15, 2, 31, 16, 32, 8, 23, 40, 18, 9, 25, 21, 11, 24, 43]","[15, 2, 31, 16, 32]...",False,0.0,0.0,0.0,-134.5,0.16666666666666666,0,SKIP,True,0
113,2025/8/26,39,"[15, 2, 39, 16, 31, 8, 23, 18, 40, 25, 9, 21, 32, 11, 24]","[15, 2, 39, 16, 31]...",True,1.0,15.0,32.0,-102.5,0.25,0,WIN,False,1
114,2025/8/27,2,"[2, 15, 38, 16, 23, 18, 40, 8, 25, 21, 9, 31, 11, 32, 24]","[2, 15, 38, 16, 23]...",True,0.0,0.0,0.0,-102.5,0.25,0,SKIP,True,0
115,2025/8/28,46,"[15, 16, 38, 23, 8, 25, 9, 21, 18, 31, 11, 32, 40, 22, 43]","[15, 16, 38, 23, 8]...",False,1.0,15.0,-15.0,-117.5,0.25,0,LOSS,False,0
116,2025/8/29,4,"[8, 9, 1, 43, 40, 3, 4, 15, 37, 2, 31, 45, 7, 32, 10]","[8, 9, 1, 43, 40]...",True,1.0,15.0,32.0,-85.5,0.3333333333333333,1,WIN,False,1
117,2025/8/30,28,"[8, 9, 1, 3, 43, 40, 5, 15, 44, 31, 6, 10, 41, 7, 32]","[8, 9, 1, 3, 43]...",False,0.0,0.0,0.0,-85.5,0.3333333333333333,0,SKIP,True,0
118,2025/8/31,1,"[42, 8, 9, 1, 3, 40, 43, 5, 15, 31, 10, 41, 37, 44, 23]","[42, 8, 9, 1, 3]...",True,1.0,15.0,32.0,-53.5,0.4166666666666667,0,WIN,False,1
119,2025/9/1,34,"[8, 9, 42, 3, 39, 5, 40, 43, 6, 15, 10, 41, 23, 44, 7]","[8, 9, 42, 3, 39]...",False,0.0,0.0,0.0,-53.5,0.4166666666666667,0,SKIP,True,0
120,2025/9/2,8,"[2, 8, 9, 42, 39, 3, 5, 43, 40, 15, 41, 10, 23, 6, 44]","[2, 8, 9, 42, 39]...",True,1.5,22.5,48.0,-5.5,0.5,0,WIN,False,1
121,2025/9/3,24,"[2, 9, 42, 46, 3, 5, 43, 6, 39, 40, 13, 15, 10, 41, 7]","[2, 9, 42, 46, 3]...",False,0.0,0.0,0.0,-5.5,0.5,0,SKIP,True,0
122,2025/9/4,44,"[2, 4, 42, 9, 46, 3, 5, 43, 39, 40, 13, 15, 10, 25, 41]","[2, 4, 42, 9, 46]...",False,1.5,22.5,-22.5,-28.0,0.5,0,LOSS,False,0
123,2025/9/5,6,"[2, 4, 9, 42, 46, 28, 3, 5, 43, 40, 39, 13, 15, 25, 45]","[2, 4, 9, 42, 46]...",False,1.5,22.5,-22.5,-50.5,0.4166666666666667,1,LOSS,False,0
124,2025/9/6,25,"[2, 1, 4, 46, 42, 9, 28, 3, 43, 13, 40, 39, 15, 25, 41]","[2, 1, 4, 46, 42]...",True,3.0,45.0,96.0,45.5,0.5,2,WIN,False,1
