策略,命中次数,命中率,总投入,总收益,净利润,ROI,最大回撤
基准策略（10倍限制Fib）,99,33.00%,11655.0,12831.0,1176.0,10.09009009009009,1071.0
止损暂停（7期暂停2期）,99,33.00%,9750.0,10152.0,402.0,4.123076923076923,1557.0
降档倍投（7期降Fib[2]持续2期）,99,33.00%,10170.0,10575.0,405.0,3.982300884955752,1571.0
智能动态（回看12期）,99,33.00%,11319.0,13028.399999999994,1709.4000000000008,15.102040816326538,775.1999999999999
纯增强（回看12期>0.38增强1.1倍）,99,33.00%,11892.0,13235.200000000008,1343.2000000000007,11.294988227379758,1039.6000000000001
