期号,日期,实际号码,基础倍数,投注倍数,投注金额,结果,盈亏,累计盈亏,最大回撤,近期命中率,Fib索引
1,2025/5/2,33,1,1.0,15.0,命中,30.0,30.0,0.0,0.0,0
2,2025/5/3,45,1,1.0,15.0,命中,30.0,60.0,0.0,1.0,0
3,2025/5/4,10,1,1.0,15.0,未中,-15.0,45.0,0.0,1.0,1
4,2025/5/5,49,1,1.0,15.0,未中,-15.0,30.0,0.0,0.6666666666666666,2
5,2025/5/6,2,2,2.0,30.0,未中,-30.0,0.0,0.0,0.5,3
6,2025/5/7,49,3,3.0,45.0,未中,-45.0,-45.0,45.0,0.4,4
7,2025/5/8,13,5,5.0,75.0,未中,-75.0,-120.0,120.0,0.3333333333333333,5
8,2025/5/9,40,8,8.0,120.0,未中,-120.0,-240.0,240.0,0.2857142857142857,6
9,2025/5/10,23,10,10.0,150.0,命中,300.0,60.0,240.0,0.25,0
10,2025/5/11,47,1,1.0,15.0,命中,30.0,90.0,240.0,0.25,0
11,2025/5/12,2,1,1.0,15.0,命中,30.0,120.0,240.0,0.25,0
12,2025/5/13,10,1,1.5,22.5,命中,45.0,165.0,240.0,0.375,0
13,2025/5/14,14,1,1.5,22.5,未中,-22.5,142.5,240.0,0.5,1
14,2025/5/15,37,1,1.5,22.5,未中,-22.5,120.0,240.0,0.5,2
15,2025/5/16,9,2,3.0,45.0,未中,-45.0,75.0,240.0,0.5,3
16,2025/5/17,36,3,4.5,67.5,未中,-67.5,7.5,240.0,0.5,4
17,2025/5/18,41,5,7.5,112.5,未中,-112.5,-105.0,240.0,0.5,5
18,2025/5/19,14,8,10.0,150.0,未中,-150.0,-255.0,255.0,0.375,6
19,2025/5/20,11,10,10.0,150.0,未中,-150.0,-405.0,405.0,0.25,7
20,2025/5/21,13,10,6.0,90.0,命中,180.0,-225.0,405.0,0.125,0
21,2025/5/22,44,1,1.0,15.0,未中,-15.0,-240.0,405.0,0.125,1
22,2025/5/23,10,1,1.0,15.0,命中,30.0,-210.0,405.0,0.125,0
23,2025/5/24,25,1,1.0,15.0,未中,-15.0,-225.0,405.0,0.25,1
24,2025/5/25,17,1,1.0,15.0,未中,-15.0,-240.0,405.0,0.25,2
25,2025/5/26,14,2,2.0,30.0,命中,60.0,-180.0,405.0,0.25,0
26,2025/5/27,32,1,1.5,22.5,未中,-22.5,-202.5,405.0,0.375,1
27,2025/5/28,2,1,1.5,22.5,命中,45.0,-157.5,405.0,0.375,0
28,2025/5/29,41,1,1.5,22.5,命中,45.0,-112.5,405.0,0.5,0
29,2025/5/30,40,1,1.5,22.5,命中,45.0,-67.5,405.0,0.5,0
30,2025/5/31,38,1,1.5,22.5,未中,-22.5,-90.0,405.0,0.625,1
31,2025/6/1,10,1,1.5,22.5,命中,45.0,-45.0,405.0,0.5,0
32,2025/6/2,43,1,1.5,22.5,未中,-22.5,-67.5,405.0,0.625,1
33,2025/6/3,26,1,1.5,22.5,未中,-22.5,-90.0,405.0,0.625,2
34,2025/6/4,45,2,3.0,45.0,未中,-45.0,-135.0,405.0,0.5,3
35,2025/6/5,18,3,4.5,67.5,未中,-67.5,-202.5,405.0,0.5,4
36,2025/6/6,23,5,7.5,112.5,命中,225.0,22.5,405.0,0.375,0
37,2025/6/7,5,1,1.5,22.5,未中,-22.5,0.0,405.0,0.375,1
38,2025/6/8,31,1,1.0,15.0,未中,-15.0,-15.0,405.0,0.25,2
39,2025/6/9,11,2,2.0,30.0,命中,60.0,45.0,405.0,0.25,0
40,2025/6/10,16,1,1.0,15.0,未中,-15.0,30.0,405.0,0.25,1
41,2025/6/11,1,1,1.0,15.0,未中,-15.0,15.0,405.0,0.25,2
42,2025/6/12,23,2,2.0,30.0,命中,60.0,75.0,405.0,0.25,0
43,2025/6/13,13,1,1.5,22.5,命中,45.0,120.0,405.0,0.375,0
44,2025/6/14,47,1,1.5,22.5,未中,-22.5,97.5,405.0,0.5,1
45,2025/6/15,41,1,1.5,22.5,命中,45.0,142.5,405.0,0.375,0
46,2025/6/16,9,1,1.5,22.5,未中,-22.5,120.0,405.0,0.5,1
47,2025/6/17,16,1,1.5,22.5,命中,45.0,165.0,405.0,0.5,0
48,2025/6/18,7,1,1.5,22.5,未中,-22.5,142.5,405.0,0.5,1
49,2025/6/19,33,1,1.5,22.5,未中,-22.5,120.0,405.0,0.5,2
50,2025/6/20,47,2,3.0,45.0,命中,90.0,210.0,405.0,0.5,0
51,2025/6/21,36,1,1.5,22.5,未中,-22.5,187.5,405.0,0.5,1
52,2025/6/22,38,1,1.5,22.5,未中,-22.5,165.0,405.0,0.375,2
53,2025/6/23,39,2,3.0,45.0,未中,-45.0,120.0,405.0,0.375,3
54,2025/6/24,30,3,3.0,45.0,未中,-45.0,75.0,405.0,0.25,4
55,2025/6/25,36,5,5.0,75.0,未中,-75.0,0.0,405.0,0.25,5
56,2025/6/26,4,8,4.8,72.0,未中,-72.0,-72.0,405.0,0.125,6
57,2025/6/27,27,10,6.0,90.0,未中,-90.0,-162.0,405.0,0.125,7
58,2025/6/28,24,10,6.0,90.0,未中,-90.0,-252.0,405.0,0.125,8
59,2025/6/29,29,10,6.0,90.0,未中,-90.0,-342.0,405.0,0.0,9
60,2025/6/30,23,10,6.0,90.0,命中,180.0,-162.0,405.0,0.0,0
61,2025/7/1,42,1,1.0,15.0,未中,-15.0,-177.0,405.0,0.125,1
62,2025/7/2,33,1,1.0,15.0,命中,30.0,-147.0,405.0,0.125,0
63,2025/7/3,28,1,1.0,15.0,未中,-15.0,-162.0,405.0,0.25,1
64,2025/7/4,5,1,1.0,15.0,命中,30.0,-132.0,405.0,0.25,0
65,2025/7/5,8,1,1.5,22.5,未中,-22.5,-154.5,405.0,0.375,1
66,2025/7/6,45,1,1.5,22.5,未中,-22.5,-177.0,405.0,0.375,2
67,2025/7/7,15,2,3.0,45.0,未中,-45.0,-222.0,405.0,0.375,3
68,2025/7/8,17,3,4.5,67.5,未中,-67.5,-289.5,405.0,0.375,4
69,2025/7/9,18,5,5.0,75.0,未中,-75.0,-364.5,405.0,0.25,5
70,2025/7/10,29,8,8.0,120.0,命中,240.0,-124.5,405.0,0.25,0
71,2025/7/11,45,1,1.0,15.0,未中,-15.0,-139.5,405.0,0.25,1
72,2025/7/12,24,1,1.0,15.0,命中,30.0,-109.5,405.0,0.25,0
73,2025/7/13,29,1,1.0,15.0,未中,-15.0,-124.5,405.0,0.25,1
74,2025/7/14,25,1,1.0,15.0,未中,-15.0,-139.5,405.0,0.25,2
75,2025/7/15,14,2,2.0,30.0,未中,-30.0,-169.5,405.0,0.25,3
76,2025/7/16,34,3,3.0,45.0,未中,-45.0,-214.5,405.0,0.25,4
77,2025/7/17,43,5,5.0,75.0,未中,-75.0,-289.5,405.0,0.25,5
78,2025/7/18,10,8,8.0,120.0,未中,-120.0,-409.5,409.5,0.25,6
79,2025/7/19,47,10,6.0,90.0,未中,-90.0,-499.5,499.5,0.125,7
80,2025/7/20,47,10,6.0,90.0,未中,-90.0,-589.5,589.5,0.125,8
81,2025/7/21,20,10,6.0,90.0,未中,-90.0,-679.5,679.5,0.0,9
82,2025/7/22,18,10,6.0,90.0,命中,180.0,-499.5,679.5,0.0,0
83,2025/7/25,30,1,1.0,15.0,未中,-15.0,-514.5,679.5,0.125,1
84,2025/7/26,1,1,1.0,15.0,未中,-15.0,-529.5,679.5,0.125,2
85,2025/7/27,10,2,1.2,18.0,命中,36.0,-493.5,679.5,0.125,0
86,2025/7/28,24,1,1.0,15.0,命中,30.0,-463.5,679.5,0.25,0
87,2025/7/29,9,1,1.5,22.5,未中,-22.5,-486.0,679.5,0.375,1
88,2025/7/30,13,1,1.5,22.5,未中,-22.5,-508.5,679.5,0.375,2
89,2025/7/31,15,2,3.0,45.0,未中,-45.0,-553.5,679.5,0.375,3
90,2025/8/1,2,3,4.5,67.5,未中,-67.5,-621.0,679.5,0.375,4
91,2025/8/2,18,5,5.0,75.0,命中,150.0,-471.0,679.5,0.25,0
92,2025/8/3,11,1,1.5,22.5,未中,-22.5,-493.5,679.5,0.375,1
93,2025/8/4,15,1,1.5,22.5,未中,-22.5,-516.0,679.5,0.375,2
94,2025/8/5,21,2,2.0,30.0,未中,-30.0,-546.0,679.5,0.25,3
95,2025/8/6,23,3,1.7999999999999998,26.999999999999996,未中,-26.999999999999996,-573.0,679.5,0.125,4
96,2025/8/7,46,5,3.0,45.0,未中,-45.0,-618.0,679.5,0.125,5
97,2025/8/8,23,8,4.8,72.0,未中,-72.0,-690.0,690.0,0.125,6
98,2025/8/9,9,10,6.0,90.0,命中,180.0,-510.0,690.0,0.125,0
99,2025/8/10,8,1,1.0,15.0,未中,-15.0,-525.0,690.0,0.25,1
100,2025/8/11,8,1,1.0,15.0,未中,-15.0,-540.0,690.0,0.125,2
101,2025/8/12,43,2,1.2,18.0,未中,-18.0,-558.0,690.0,0.125,3
102,2025/8/13,25,3,1.7999999999999998,26.999999999999996,未中,-26.999999999999996,-585.0,690.0,0.125,4
103,2025/8/14,16,5,3.0,45.0,未中,-45.0,-630.0,690.0,0.125,5
104,2025/8/15,32,8,4.8,72.0,未中,-72.0,-702.0,702.0,0.125,6
105,2025/8/16,31,10,6.0,90.0,未中,-90.0,-792.0,792.0,0.125,7
106,2025/8/17,40,10,6.0,90.0,未中,-90.0,-882.0,882.0,0.125,8
107,2025/8/18,15,10,6.0,90.0,命中,180.0,-702.0,882.0,0.0,0
108,2025/8/19,2,1,1.0,15.0,命中,30.0,-672.0,882.0,0.125,0
109,2025/8/20,39,1,1.0,15.0,未中,-15.0,-687.0,882.0,0.25,1
110,2025/8/21,38,1,1.0,15.0,未中,-15.0,-702.0,882.0,0.25,2
