period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
227,2025/12/15,"['猪', '猴', '羊', '牛']",猴,True,30,186,0
228,2025/12/16,"['猪', '羊', '牛', '鸡']",蛇,False,-16,170,1
229,2025/12/17,"['猪', '羊', '狗', '牛']",虎,False,-16,154,2
230,2025/12/18,"['羊', '猪', '狗', '鸡']",狗,True,30,184,0
231,2025/12/19,"['羊', '猪', '鼠', '牛']",蛇,False,-16,168,1
232,2025/12/20,"['羊', '猪', '鸡', '鼠']",鼠,True,30,198,0
233,2025/12/21,"['羊', '猪', '鸡', '牛']",狗,False,-16,182,1
234,2025/12/22,"['羊', '猪', '鸡', '牛']",马,False,-16,166,2
235,2025/12/23,"['羊', '猪', '牛', '鸡']",蛇,False,-16,150,3
236,2025/12/24,"['羊', '猪', '鸡', '牛']",猪,True,30,180,0
237,2025/12/25,"['羊', '鸡', '牛', '兔']",羊,True,30,210,0
238,2025/12/26,"['牛', '鸡', '兔', '猴']",牛,True,30,240,0
239,2025/12/27,"['鸡', '兔', '猪', '猴']",马,False,-16,224,1
240,2025/12/28,"['鸡', '兔', '猴', '羊']",羊,True,30,254,0
241,2025/12/29,"['鸡', '龙', '兔', '猴']",龙,True,30,284,0
242,2025/12/30,"['鸡', '兔', '猴', '猪']",马,False,-16,268,1
243,2025/12/31,"['鸡', '猴', '猪', '兔']",龙,False,-16,252,2
244,2026/1/1,"['鸡', '猴', '猪', '兔']",牛,False,-16,236,3
245,2026/1/2,"['鸡', '兔', '猴', '鼠']",猴,True,30,266,0
246,2026/1/3,"['鸡', '兔', '鼠', '羊']",鸡,True,30,296,0
247,2026/1/4,"['兔', '狗', '猪', '鼠']",鸡,False,-16,280,1
248,2026/1/5,"['兔', '狗', '猪', '鼠']",猪,True,30,310,0
249,2026/1/6,"['兔', '狗', '鼠', '牛']",蛇,False,-16,294,1
250,2026/1/7,"['鼠', '兔', '狗', '牛']",牛,True,30,324,0
251,2026/1/8,"['虎', '鼠', '兔', '羊']",鸡,False,-16,308,1
252,2026/1/9,"['虎', '鼠', '兔', '羊']",虎,True,30,338,0
253,2026/1/10,"['鼠', '兔', '羊', '狗']",兔,True,30,368,0
254,2026/1/11,"['鼠', '狗', '羊', '龙']",羊,True,30,398,0
255,2026/1/12,"['鼠', '狗', '龙', '猪']",羊,False,-16,382,1
256,2026/1/13,"['鼠', '狗', '龙', '兔']",蛇,False,-16,366,2
257,2026/1/14,"['鼠', '狗', '龙', '兔']",龙,True,30,396,0
258,2026/1/15,"['鼠', '猴', '狗', '兔']",猪,False,-16,380,1
259,2026/1/16,"['鼠', '猴', '狗', '兔']",鼠,True,30,410,0
260,2026/1/17,"['猴', '狗', '虎', '兔']",狗,True,30,440,0
261,2026/1/18,"['猴', '兔', '虎', '龙']",兔,True,30,470,0
262,2026/1/19,"['猴', '虎', '鼠', '鸡']",猴,True,30,500,0
263,2026/1/20,"['虎', '鼠', '狗', '马']",马,True,30,530,0
264,2026/1/21,"['虎', '鼠', '狗', '兔']",鼠,True,30,560,0
265,2026/1/22,"['虎', '狗', '兔', '猴']",鼠,False,-16,544,1
266,2026/1/23,"['虎', '狗', '兔', '鸡']",羊,False,-16,528,2
267,2026/1/24,"['虎', '蛇', '狗', '兔']",虎,True,30,558,0
268,2026/1/25,"['蛇', '狗', '兔', '猪']",蛇,True,30,588,0
269,2026/1/26,"['牛', '兔', '狗', '猪']",猪,True,30,618,0
270,2026/1/27,"['牛', '虎', '狗', '兔']",鸡,False,-16,602,1
271,2026/1/28,"['牛', '狗', '虎', '兔']",兔,True,30,632,0
272,2026/1/29,"['牛', '狗', '龙', '虎']",蛇,False,-16,616,1
273,2026/1/30,"['狗', '牛', '龙', '马']",牛,True,30,646,0
274,2026/1/31,"['狗', '龙', '马', '猴']",龙,True,30,676,0
275,2026/2/1,"['狗', '马', '猴', '虎']",鼠,False,-16,660,1
276,2026/2/2,"['马', '猴', '狗', '牛']",牛,True,30,690,0
277,2026/2/3,"['马', '猴', '狗', '龙']",猪,False,-16,674,1
278,2026/2/4,"['马', '猴', '狗', '虎']",兔,False,-16,658,2
279,2026/2/5,"['马', '猴', '狗', '虎']",蛇,False,-16,642,3
280,2026/2/6,"['马', '猴', '狗', '虎']",猪,False,-16,626,4
281,2026/2/7,"['狗', '马', '猴', '虎']",鼠,False,-16,610,5
282,2026/2/8,"['狗', '马', '猴', '鸡']",羊,False,-16,594,6
283,2026/2/9,"['猴', '狗', '鸡', '虎']",虎,True,30,624,0
284,2026/2/10,"['马', '猴', '狗', '鸡']",马,True,30,654,0
