period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance
18,"['兔', '猴', '蛇', '马']","[7, 9, 10, 12, 19, 21, 22, 24, 31, 33, 34, 36, 43, 45, 46, 48]",16,24,True,3,0,1.0,16.0,31.0,482.0,482.0
19,"['兔', '蛇', '牛', '马']","[5, 7, 9, 10, 17, 19, 21, 22, 29, 31, 33, 34, 41, 43, 45, 46]",16,18,False,0,1,1.0,16.0,-16.0,466.0,466.0
20,"['兔', '蛇', '马', '龙']","[7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46]",16,6,False,0,2,2.0,32.0,-32.0,434.0,434.0
21,"['兔', '蛇', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,45,True,1,0,4.0,64.0,124.0,558.0,558.0
22,"['兔', '马', '猪', '龙']","[3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46]",16,28,False,0,1,1.0,16.0,-16.0,542.0,542.0
23,"['兔', '马', '猪', '龙']","[3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46]",16,23,False,0,2,2.0,32.0,-32.0,510.0,510.0
24,"['兔', '龙', '马', '鸡']","[1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49]",17,47,False,0,3,4.0,68.0,-68.0,442.0,442.0
25,"['马', '兔', '龙', '鸡']","[1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49]",17,9,False,0,4,6.0,102.0,-102.0,340.0,340.0
26,"['马', '兔', '狗', '鸡']","[1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49]",17,15,False,0,5,8.0,136.0,-136.0,204.0,204.0
27,"['马', '兔', '狗', '鸡']","[1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49]",17,4,False,0,6,10.0,170.0,-170.0,34.0,34.0
28,"['马', '兔', '狗', '鸡']","[1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49]",17,19,True,1,0,10.0,170.0,300.0,334.0,334.0
29,"['牛', '马', '狗', '鸡']","[1, 2, 5, 10, 13, 14, 17, 22, 25, 26, 29, 34, 37, 38, 41, 46, 49]",17,37,True,2,0,1.0,17.0,30.0,364.0,364.0
30,"['牛', '龙', '马', '狗']","[2, 5, 8, 10, 14, 17, 20, 22, 26, 29, 32, 34, 38, 41, 44, 46]",16,3,False,0,1,1.0,16.0,-16.0,348.0,348.0
31,"['牛', '龙', '马', '狗']","[2, 5, 8, 10, 14, 17, 20, 22, 26, 29, 32, 34, 38, 41, 44, 46]",16,17,True,1,0,2.0,32.0,62.0,410.0,410.0
32,"['龙', '马', '狗', '猴']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,36,True,2,0,1.0,16.0,31.0,441.0,441.0
33,"['龙', '马', '狗', '兔']","[2, 7, 8, 10, 14, 19, 20, 22, 26, 31, 32, 34, 38, 43, 44, 46]",16,26,True,3,0,1.0,16.0,31.0,472.0,472.0
34,"['龙', '马', '兔', '牛']","[5, 7, 8, 10, 17, 19, 20, 22, 29, 31, 32, 34, 41, 43, 44, 46]",16,26,False,0,1,1.0,16.0,-16.0,456.0,456.0
35,"['龙', '马', '羊', '兔']","[7, 8, 10, 11, 19, 20, 22, 23, 31, 32, 34, 35, 43, 44, 46, 47]",16,6,False,0,2,2.0,32.0,-32.0,424.0,424.0
36,"['龙', '马', '蛇', '羊']","[8, 9, 10, 11, 20, 21, 22, 23, 32, 33, 34, 35, 44, 45, 46, 47]",16,46,True,1,0,4.0,64.0,124.0,548.0,548.0
37,"['龙', '蛇', '羊', '兔']","[7, 8, 9, 11, 19, 20, 21, 23, 31, 32, 33, 35, 43, 44, 45, 47]",16,44,True,2,0,1.0,16.0,31.0,579.0,579.0
38,"['蛇', '羊', '兔', '牛']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,17,True,3,0,1.0,16.0,31.0,610.0,610.0
39,"['兔', '蛇', '鸡', '羊']","[1, 7, 9, 11, 13, 19, 21, 23, 25, 31, 33, 35, 37, 43, 45, 47, 49]",17,9,True,4,0,1.0,17.0,30.0,640.0,640.0
40,"['鸡', '兔', '羊', '龙']","[1, 7, 8, 11, 13, 19, 20, 23, 25, 31, 32, 35, 37, 43, 44, 47, 49]",17,8,True,5,0,1.0,17.0,30.0,670.0,670.0
41,"['鸡', '兔', '猪', '羊']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,48,False,0,1,1.0,17.0,-17.0,653.0,653.0
42,"['鸡', '兔', '猪', '羊']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,26,False,0,2,2.0,34.0,-34.0,619.0,619.0
43,"['鸡', '兔', '猪', '羊']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,6,False,0,3,4.0,68.0,-68.0,551.0,551.0
44,"['鸡', '兔', '猪', '鼠']","[1, 3, 4, 7, 13, 15, 16, 19, 25, 27, 28, 31, 37, 39, 40, 43, 49]",17,4,True,1,0,6.0,102.0,180.0,731.0,731.0
45,"['鸡', '羊', '兔', '猪']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,38,False,0,1,1.0,17.0,-17.0,714.0,714.0
46,"['羊', '兔', '鸡', '猪']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,27,True,1,0,2.0,34.0,60.0,774.0,774.0
47,"['羊', '马', '兔', '鸡']","[1, 7, 10, 11, 13, 19, 22, 23, 25, 31, 34, 35, 37, 43, 46, 47, 49]",17,24,False,0,1,1.0,17.0,-17.0,757.0,757.0
48,"['羊', '马', '兔', '鸡']","[1, 7, 10, 11, 13, 19, 22, 23, 25, 31, 34, 35, 37, 43, 46, 47, 49]",17,3,False,0,2,2.0,34.0,-34.0,723.0,723.0
49,"['羊', '兔', '马', '鸡']","[1, 7, 10, 11, 13, 19, 22, 23, 25, 31, 34, 35, 37, 43, 46, 47, 49]",17,13,True,1,0,4.0,68.0,120.0,843.0,843.0
50,"['羊', '兔', '马', '牛']","[5, 7, 10, 11, 17, 19, 22, 23, 29, 31, 34, 35, 41, 43, 46, 47]",16,16,False,0,1,1.0,16.0,-16.0,827.0,827.0
51,"['羊', '兔', '马', '牛']","[5, 7, 10, 11, 17, 19, 22, 23, 29, 31, 34, 35, 41, 43, 46, 47]",16,22,True,1,0,2.0,32.0,62.0,889.0,889.0
52,"['羊', '兔', '牛', '龙']","[5, 7, 8, 11, 17, 19, 20, 23, 29, 31, 32, 35, 41, 43, 44, 47]",16,49,False,0,1,1.0,16.0,-16.0,873.0,873.0
53,"['羊', '兔', '牛', '龙']","[5, 7, 8, 11, 17, 19, 20, 23, 29, 31, 32, 35, 41, 43, 44, 47]",16,4,False,0,2,2.0,32.0,-32.0,841.0,841.0
